algorithm,neo4j_category,tier,primitive_family,format_name,base_snapshot_layout,property_planes,auxiliary_indexes,compute_scratch,result_sidecar,why_matches,why_generic_misaligned,expected_payoff,implementation_complexity,benchmark_priority,source_url
Leiden,community,production,partition_refinement,LeidenRefinementSnapshotV1,PartitionRefinementLayoutV1,edge.weight.f32 optional;node.volume.f32,coarse_graph.offsets.u64 optional;coarse_graph.peers.u32 optional,community.curr.u32;gain.f32;move.queue.u32,leiden.id.u32.bin;leiden.level_offsets.u64.bin,leiden is modularity refinement plus constrained subcommunity moves,the hot state is community ID and gain not property rows,high,high,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/leiden/
Local Clustering Coefficient,community,production,ordered_wedge,LocalClusteringCoefficientSnapshotV1,OrderedWedgeLayoutV1,none,degree.u32;degeneracy.order.u32,intersection.cursor.u32,local_clustering.score.f32.bin,local clustering coefficient is triangle counting normalized by local degree,sorted adjacency intersections are the right primitive,high,medium,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/local-clustering-coefficient/
Louvain,community,production,partition_refinement,LouvainRefinementSnapshotV1,PartitionRefinementLayoutV1,edge.weight.f32 optional;node.volume.f32,coarse_graph.offsets.u64 optional;coarse_graph.peers.u32 optional,community.curr.u32;gain.f32;community.mass.f32,louvain.id.u32.bin;louvain.level_offsets.u64.bin,louvain is repeated local modularity gain over community IDs and edge weights,generic storage hides the coarse graph rebuild pattern,high,high,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/louvain/
Modularity metric,community,production,partition_refinement,ModularityMetricSnapshotV1,PartitionRefinementLayoutV1,community.input.u32;edge.weight.f32 optional,community.bucket.offsets.u64 optional,intra_mass.f32;expected_mass.f32,modularity.per_community.f32.bin;modularity.total.f32.json,modularity metric evaluates an existing partition over dense counters,it should read a community sidecar and edge mass planes directly,medium,medium,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/modularity/
Modularity Optimization,community,production,partition_refinement,ModularityOptimizationSnapshotV1,PartitionRefinementLayoutV1,edge.weight.f32 optional;node.volume.f32,coarse_graph.offsets.u64 optional;coarse_graph.peers.u32 optional,community.curr.u32;gain.f32;community.mass.f32,modopt.id.u32.bin;modopt.level_offsets.u64.bin,modularity optimization is a partition refinement loop over edge weights and community volumes,generic graph storage is too indirect for repeated local gain checks,high,high,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/modularity-optimization/
Strongly Connected Components,community,production,connectivity_lowlink,SccFinishOrderSnapshotV1,ConnectivityLowlinkLayoutV1,none,finish.order.u32 optional,visited.bitset;finish.order.u32;component.id.u32,scc.id.u32.bin;scc.order.u32.bin,scc needs forward and reverse adjacency with dense finish order replay,reverse traversals should be first class bytes not reconstructed traversals,high,medium,P1,https://neo4j.com/docs/graph-data-science/current/algorithms/strongly-connected-components/
Triangle Count,community,production,ordered_wedge,TriangleCountOrderedWedgeSnapshotV1,OrderedWedgeLayoutV1,none,degree.u32;degeneracy.order.u32,intersection.cursor.u32,triangle.count.u32.bin,triangle count is the poster child for sorted neighbor intersection,generic graph engines make triangle enumeration pointer heavy,high,medium,P1,https://neo4j.com/docs/graph-data-science/current/algorithms/triangle-count/
Weakly Connected Components,community,production,connectivity_lowlink,WccUnionFindSnapshotV1,ConnectivityLowlinkLayoutV1,none,undir.edge_id optional,parent.u32;rank.u16;queue.u32,wcc.id.u32.bin,wcc is best seen as dense union find over an undirected projection,generic relationship traversal is extra work for a connectivity primitive,high,low,P1,https://neo4j.com/docs/graph-data-science/current/algorithms/wcc/
Approximate Maximum k-cut,community,alpha,partition_refinement,ApproxMaxKCutPartitionSnapshotV1,PartitionRefinementLayoutV1,edge.weight.f32 optional;sample.seed.u64,community.seed.u32 optional,community.curr.u32;gain.f32;perturb.buffer.u32,maxkcut.id.u32.bin;maxkcut.score.f32.json,approximate max k cut repeatedly perturbs and scores partitions,the hot state is partition membership and cut gain not relationship records,medium,high,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/approx-max-k-cut/
Speaker-Listener Label Propagation,community,alpha,partition_refinement,SllpaSpeakerListenerSnapshotV1,PartitionRefinementLayoutV1,edge.weight.f32 optional,none,label.multiset.offsets.u64 optional;sample.buffer.u32,sllpa.id.offsets.u64.bin;sllpa.id.u32.bin,sllpa is repeated stochastic label exchange over neighborhoods,it wants dense community buffers rather than general graph records,medium,high,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/sllpa/
Node Similarity,similarity,production,ordered_wedge,NodeSimilarityIntersectionSnapshotV1,OrderedWedgeLayoutV1,neighbor.weight.f32 optional,degree.u32;topk.limit.u32 optional,intersection.cursor.u32;pair.heap optional,node_similarity.src.u32.bin;node_similarity.dst.u32.bin;node_similarity.score.f32.bin,node similarity is neighborhood set intersection and pair scoring,it wants sorted neighbor planes not generic traversal callbacks,high,high,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/node-similarity/
Filtered Node Similarity,similarity,production,ordered_wedge,FilteredNodeSimilarityIntersectionSnapshotV1,OrderedWedgeLayoutV1,neighbor.weight.f32 optional,degree.u32;source.filter.bitset;target.filter.bitset,intersection.cursor.u32;pair.heap optional,filtered_node_similarity.src.u32.bin;filtered_node_similarity.dst.u32.bin;filtered_node_similarity.score.f32.bin,the base work is still neighborhood intersection plus filter masks,filtering is cheaper as bitsets than as repeated label and property checks,medium,high,P3,https://neo4j.com/docs/graph-data-science/current/algorithms/filtered-node-similarity/
K-Nearest Neighbors,similarity,production,feature_metric,KnnFeatureAnnSnapshotV1,FeatureMetricLayoutV1,features.rowmajor.f32;feature.norm.f32,candidate.offsets.u64;candidate.peers.u32;source.filter.bitset optional,candidate.heap;delta.f32,knn.offsets.u64.bin;knn.peers.u32.bin;knn.score.f32.bin,knn is approximate nearest neighbor refinement over feature vectors,the best storage is vector pages plus ANN candidate sidecars not graph relationships,medium,high,P3,https://neo4j.com/docs/graph-data-science/current/algorithms/knn/
Filtered K-Nearest Neighbors,similarity,production,feature_metric,FilteredKnnFeatureAnnSnapshotV1,FeatureMetricLayoutV1,features.rowmajor.f32;feature.norm.f32,candidate.offsets.u64;candidate.peers.u32;source.filter.bitset;target.filter.bitset,candidate.heap;delta.f32,filtered_knn.offsets.u64.bin;filtered_knn.peers.u32.bin;filtered_knn.score.f32.bin,filtered knn is the same vector ANN workload with mask planes,property graph filtering costs can dominate if masks are not precomputed,medium,high,P3,https://neo4j.com/docs/graph-data-science/current/algorithms/filtered-knn/
Delta-Stepping Single-Source Shortest Path,pathfinding,production,relaxation_frontier,DeltaSteppingBucketSnapshotV1,RelaxationFrontierLayoutV1,edge.weight.f32,bucket.index.u32 optional,dist.f32;bucket.head.u32;bucket.next.u32,delta_sssp.dist.f32.bin;delta_sssp.pred.u32.bin,delta stepping wants weighted adjacency and bucket friendly node IDs,the layout should feed buckets directly instead of wrapping edges in records,high,medium,P1,https://neo4j.com/docs/graph-data-science/current/algorithms/delta-single-source/
Dijkstra Source-Target Shortest Path,pathfinding,production,relaxation_frontier,DijkstraSourceTargetSnapshotV1,RelaxationFrontierLayoutV1,edge.weight.f32,heuristic.f32 optional,dist.f32;pred.u32;heap.key.u32,dijkstra_st.path.nodes.u32.bin;dijkstra_st.cost.f32.json,source target dijkstra is a classic heap based relaxation loop,the runtime wants weights and predecessor arrays not row materialization,high,medium,P1,https://neo4j.com/docs/graph-data-science/current/algorithms/dijkstra-source-target/
Dijkstra Single-Source Shortest Path,pathfinding,production,relaxation_frontier,DijkstraSingleSourceSnapshotV1,RelaxationFrontierLayoutV1,edge.weight.f32,none,dist.f32;pred.u32;heap.key.u32,dijkstra_ss.dist.f32.bin;dijkstra_ss.pred.u32.bin,single source dijkstra is frontier relaxation with a heap over dense IDs,the hot path is numeric and queue based rather than query based,high,medium,P1,https://neo4j.com/docs/graph-data-science/current/algorithms/dijkstra-single-source/
A* Shortest Path,pathfinding,production,relaxation_frontier,AStarHeuristicSnapshotV1,RelaxationFrontierLayoutV1,edge.weight.f32;heuristic.f32,none,g_score.f32;f_score.f32;pred.u32;heap.key.u32,astar.path.nodes.u32.bin;astar.cost.f32.json,a star is dijkstra plus an admissible heuristic plane,generic graph execution does not expose the heuristic as a first class numeric sidecar,high,medium,P1,https://neo4j.com/docs/graph-data-science/current/algorithms/astar/
Yen's Shortest Path,pathfinding,production,relaxation_frontier,YensDeviationSnapshotV1,RelaxationFrontierLayoutV1,edge.weight.f32,spur.blocklist.offsets.u64 optional,dist.f32;pred.u32;candidate.path.heap,yens.path.offsets.u64.bin;yens.path.nodes.u32.bin;yens.cost.f32.bin,yens combines repeated shortest path solves with deviation bookkeeping,the engine should store candidate path state as dense sidecars not as nested path objects,medium,high,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/yens/
Breadth First Search,pathfinding,production,anchor_dual_csr,BfsTraversalFrontierSnapshotV1,AnchorDualCsrLayoutV1,none,none,visited.bitset;parent.u32;depth.u32;queue.u32,bfs.parent.u32.bin;bfs.depth.u32.bin;bfs.order.u32.bin,bfs is exact frontier replay over unweighted slices,property graph execution hides a simple queue plus slice loop,very_high,low,P0,https://neo4j.com/docs/graph-data-science/current/algorithms/bfs/
Depth First Search,pathfinding,production,anchor_dual_csr,DfsTraversalStackSnapshotV1,AnchorDualCsrLayoutV1,none,none,visited.bitset;parent.u32;entry.u32;exit.u32;stack.u32,dfs.parent.u32.bin;dfs.entry.u32.bin;dfs.exit.u32.bin,dfs is stack driven adjacency replay over dense IDs,generic traversal machinery is heavier than the underlying stack walk,very_high,low,P0,https://neo4j.com/docs/graph-data-science/current/algorithms/dfs/
Random Walk,pathfinding,production,anchor_dual_csr,RandomWalkAliasSnapshotV1,AnchorDualCsrLayoutV1,walk.alias_prob.f32;walk.alias_jump.u32;sample.seed.u64,none,path.cursor.u32;visit.count.u32;rng.state.u64,random_walk.offsets.u64.bin;random_walk.nodes.u32.bin;random_walk.count.u32.bin,random walk is repeated stochastic edge choice over local neighbor slices,the right storage is alias ready transition pages not generic path objects,high,medium,P0,https://neo4j.com/docs/graph-data-science/current/algorithms/random-walk/
Bellman-Ford Single-Source Shortest Path,pathfinding,production,relaxation_frontier,BellmanFordEdgeScanSnapshotV1,RelaxationFrontierLayoutV1,edge.weight.f32,edge.src.u32;edge.dst.u32,dist.f32;pred.u32,bellman_ford.dist.f32.bin;bellman_ford.pred.u32.bin,bellman ford is most natural over a flat edge scan plane,a relationship object cursor is an anti pattern for full edge sweeps,medium,medium,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/bellman-ford-single-source/
Minimum Weight Spanning Tree,pathfinding,production,edge_order_forest,MinimumWeightSpanningTreeSnapshotV1,EdgeOrderForestLayoutV1,edge.weight.f32,edge.order.u32,parent.u32;rank.u16,mwst.edge_bitset.bin;mwst.cost.f32.json,mwst wants globally ordered edges and union find state not neighbor replay,the best data shape is an edge plane sorted by weight,medium,medium,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/minimum-weight-spanning-tree/
Minimum Directed Steiner Tree,pathfinding,production,flow_residual,DirectedSteinerTerminalSnapshotV1,FlowResidualLayoutV1,residual.cap.f32;terminal.role.u8;terminal.supply.f32 optional,terminal.set.offsets.u64 optional,excess.f32;pred.u32;active.queue.u32,directed_steiner.edge_bitset.bin;directed_steiner.cost.f32.json,directed steiner is terminal aware path and flow search over a mutable residual view,generic property graphs do not expose reverse arc updates and terminal planes cheaply,medium,very_high,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/directed-steiner-tree/
Prize-collecting Steiner Tree,pathfinding,production,flow_residual,PrizeCollectingSteinerSnapshotV1,FlowResidualLayoutV1,residual.cap.f32;residual.cost.f32;terminal.role.u8;terminal.prize.f32,terminal.set.offsets.u64 optional,excess.f32;pred.u32;active.queue.u32,pcst.edge_bitset.bin;pcst.cost.f32.json;pcst.prize.f32.json,prize collecting steiner adds a prize plane to a terminal aware residual search,the storage needs cost and prize planes instead of property lookups,medium,very_high,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/prize-collecting-steiner-tree/
Maximum Flow,pathfinding,production,flow_residual,MaximumFlowResidualSnapshotV1,FlowResidualLayoutV1,residual.cap.f32;terminal.role.u8;terminal.supply.f32 optional;terminal.demand.f32 optional,residual.rev_arc.u32;active.node.bitset,excess.f32;height.u32;active.queue.u32,maxflow.arc_flow.f32.bin;maxflow.total.f32.json;maxflow.mincut.bitset.bin,max flow is residual push relabel over mutable arc state,generic graph storage is misaligned with reverse arc jumps and capacity updates,high,high,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/max-flow/
Minimum Cost Maximum Flow,pathfinding,production,flow_residual,MinCostMaxFlowResidualSnapshotV1,FlowResidualLayoutV1,residual.cap.f32;residual.cost.f32;terminal.role.u8;terminal.supply.f32 optional;terminal.demand.f32 optional,residual.rev_arc.u32;active.node.bitset,excess.f32;height.u32;price.f32;active.queue.u32,mcmf.arc_flow.f32.bin;mcmf.total_flow.f32.json;mcmf.total_cost.f32.json,min cost max flow is max flow plus reduced cost and price updates,the storage must expose cost and reverse arc planes directly,high,very_high,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/min-cost-max-flow/
Minimum Weight k-Spanning Tree,pathfinding,alpha,edge_order_forest,MinimumWeightKSpanningTreeSnapshotV1,EdgeOrderForestLayoutV1,edge.weight.f32,edge.order.u32;component_hint.u32,parent.u32;rank.u16;selected.count.u32,kmwst.edge_bitset.bin;kmwst.cost.f32.json,k spanning tree remains an ordered edge plus forest bookkeeping problem,the right shape is still a sorted edge plane not relationship iteration,medium,medium,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/k-minimum-weight-spanning-tree/
All Pairs Shortest Path,pathfinding,alpha,relaxation_frontier,AllPairsShortestBlockedSnapshotV1,RelaxationFrontierLayoutV1,edge.weight.f32,tile.partition.u32;edge.src.u32 optional,dist.block.f32;frontier.queue.u32;pred.block.u32,apsp.dist.tile.f32.bin;apsp.meta.json,apsp wants blocked distance tiles and bulk frontier replay rather than per query path objects,this is a batch matrix style workload not a general traversal workload,low,very_high,P3,https://neo4j.com/docs/graph-data-science/current/algorithms/all-pairs-shortest-path/
Topological Sort,dag,alpha,dag_order,TopologicalOrderDagSnapshotV1,DagOrderLayoutV1,none,in_degree.u32;zero_queue.seed optional,in_degree.work.u32;queue.u32,toposort.order.u32.bin,topological sort is in degree peeling over a DAG,in degree should be first class bytes not derived from generic relationship scans,medium,low,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/dag/topological-sort/
Longest Path,dag,alpha,dag_order,LongestPathDagSnapshotV1,DagOrderLayoutV1,dag.weight.f32 optional,in_degree.u32;topo.order.u32 optional,dist.f32;pred.u32,longest_path_dag.dist.f32.bin;longest_path_dag.pred.u32.bin,longest path on a DAG is dynamic programming over topological order,the storage should expose topo order and weighted dag edges directly,medium,medium,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/dag/longest-path/
FastRP,node_embedding,production,embedding_training,FastRpProjectionSnapshotV1,EmbeddingSampleLayoutV1,feature.rowmajor.f32 optional;sample.seed.u64,projection.seed.u64;degree.u32,embed.curr.f32;embed.next.f32,fastrp.embedding.f32.bin;fastrp.meta.json,fastrp mixes topology with lightweight projection and optional features,it benefits from topology pages plus dense vector planes more than from full property graph access,medium,high,P2,https://neo4j.com/docs/graph-data-science/current/machine-learning/node-embeddings/fastrp/
GraphSAGE,node_embedding,beta,embedding_training,GraphSageSampledNeighborhoodSnapshotV1,EmbeddingSampleLayoutV1,feature.rowmajor.f32;sample.seed.u64,neighbor.sample.offsets.u64 optional;neg.alias.jump.u32;neg.alias.prob.f32,batch.nodes.u32;grad.f32;embed.tmp.f32,graphsage.embedding.f32.bin;graphsage.model.bin,graphsage is neighborhood sampling plus feature aggregation and training,storage matters but the workload is still training dominated,low,very_high,P3,https://neo4j.com/docs/graph-data-science/current/machine-learning/node-embeddings/graph-sage/
Node2Vec,node_embedding,beta,embedding_training,Node2VecWalkCorpusSnapshotV1,EmbeddingSampleLayoutV1,alias.prob.f32;alias.jump.u32;sample.seed.u64,neg.alias.jump.u32;neg.alias.prob.f32,walk.offsets.u64;walk.nodes.u32;sgns.grad.f32,node2vec.walk.offsets.u64.bin;node2vec.walk.nodes.u32.bin;node2vec.embedding.f32.bin,node2vec is biased walk generation plus skip gram style training,the graph format helps but the main cost is corpus generation and training,low,very_high,P3,https://neo4j.com/docs/graph-data-science/current/machine-learning/node-embeddings/node2vec/
HashGNN,node_embedding,beta,embedding_training,HashGnnFeatureNeighborhoodSnapshotV1,EmbeddingSampleLayoutV1,feature.rowmajor.f32;feature.hash.u64.bin;sample.seed.u64,neighbor.sample.offsets.u64 optional,batch.nodes.u32;grad.f32;embed.tmp.f32,hashgnn.embedding.f32.bin;hashgnn.model.bin,hashgnn is feature hashing plus neighborhood sampling and training,the storage needs tensor ready features but compute still dominates,low,very_high,P3,https://neo4j.com/docs/graph-data-science/current/machine-learning/node-embeddings/hashgnn/
Adamic Adar,topological_link_prediction,alpha,ordered_wedge,AdamicAdarIntersectionSnapshotV1,OrderedWedgeLayoutV1,none,degree.u32;source.filter.bitset optional,intersection.cursor.u32;score.accum.f32,adamic_adar.src.u32.bin;adamic_adar.dst.u32.bin;adamic_adar.score.f32.bin,adamic adar is common neighbor intersection plus inverse log degree weighting,it wants sorted neighbor slices and degree planes not generic pattern matching,high,medium,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/topological-link-prediction/adamic-adar/
Common Neighbors,topological_link_prediction,alpha,ordered_wedge,CommonNeighborsIntersectionSnapshotV1,OrderedWedgeLayoutV1,none,degree.u32;source.filter.bitset optional,intersection.cursor.u32;score.accum.u32,common_neighbors.src.u32.bin;common_neighbors.dst.u32.bin;common_neighbors.score.f32.bin,common neighbors is pure neighbor set intersection,the ideal storage is sorted adjacency plus degree ordering,high,medium,P1,https://neo4j.com/docs/graph-data-science/current/algorithms/topological-link-prediction/common-neighbors/
Preferential Attachment,topological_link_prediction,alpha,peel_bucket,PreferentialAttachmentDegreeSnapshotV1,PeelBucketLayoutV1,degree.out.u32 optional;degree.in.u32 optional,pair.filter.bitset optional,score.accum.f32,preferential_attachment.src.u32.bin;preferential_attachment.dst.u32.bin;preferential_attachment.score.f32.bin,preferential attachment is degree product scoring over candidate pairs,it mainly wants precomputed degree planes not relationship decoding,high,low,P1,https://neo4j.com/docs/graph-data-science/current/algorithms/topological-link-prediction/preferential-attachment/
Resource Allocation,topological_link_prediction,alpha,ordered_wedge,ResourceAllocationIntersectionSnapshotV1,OrderedWedgeLayoutV1,none,degree.u32;source.filter.bitset optional,intersection.cursor.u32;score.accum.f32,resource_allocation.src.u32.bin;resource_allocation.dst.u32.bin;resource_allocation.score.f32.bin,resource allocation is common neighbor intersection weighted by neighbor degree,it wants the same sorted list primitive as other wedge metrics,high,medium,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/topological-link-prediction/resource-allocation/
Same Community,topological_link_prediction,alpha,partition_refinement,SameCommunityJoinSnapshotV1,PartitionRefinementLayoutV1,community.input.u32,community.bucket.offsets.u64;community.bucket.nodes.u32,pair.cursor.u32,same_community.src.u32.bin;same_community.dst.u32.bin;same_community.score.f32.bin,same community is a partition sidecar join rather than a raw graph traversal,the right storage is community buckets not generic node property scans,medium,low,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/topological-link-prediction/same-community/
Total Neighbors,topological_link_prediction,alpha,ordered_wedge,TotalNeighborsIntersectionSnapshotV1,OrderedWedgeLayoutV1,none,degree.u32;source.filter.bitset optional,intersection.cursor.u32;score.accum.u32,total_neighbors.src.u32.bin;total_neighbors.dst.u32.bin;total_neighbors.score.f32.bin,total neighbors uses degree and intersection counts to compute a union cardinality score,sorted neighbor arrays make that arithmetic cheap and predictable,medium,medium,P2,https://neo4j.com/docs/graph-data-science/current/algorithms/topological-link-prediction/total-neighbors/
