source_batch	option_group	option_id	option_summary	helps_prd_outcomes	known_blockers	required_capabilities	evidence_strength	dominant_ram_risks	current_status	next_falsifier
Batch-04	publication	PG-B	active catalog file pointing to immutable generation payloads	supports watermark reporting, publish/swap, rollback, and retention	needs explicit state machine and durability order	active pointer; staged states; retained floor	high	metadata RAM is tiny; retained generations dominate disk/cache pressure	P0-RegisteredCompatible	a simpler scheme matches the same correctness guarantees
Batch-04	publication	PG-C	timestamp- or directory-scan-based latest-generation discovery	very simple operationally	ambiguous visibility, weak rollback semantics, weak validation boundary	filesystem conventions only	low	low metadata RAM but high correctness risk	ExplicitlyOutOfScope	a formal proof or implementation spike shows scans are safe and race-free
Batch-06	compact-competitor	CC-A	Ladybug-style immutable Parquet plus CSR graph snapshots	published snapshots, sidecars, analytical scans, build/publish discipline	may be too columnar-heavy if copied literally	none specified in batch table	high	decode and page-cache behavior on cold scans	AdoptInspiration	compare direct CSR binaries versus Parquet-packaged topology on the same walk and PageRank cases
Batch-06	compact-competitor	CC-B	Kuzu-style compact embedded graph engine ideas	low-RAM graph engine, CSR adjacency, vectorized/factorized execution, stats-aware planner	live engine complexity may exceed v003’s immediate need	none specified in batch table	medium-high	executor state and planner complexity	AdoptInspiration	deeper scan of storage-manager and buffer behavior reveals hidden resident-state costs
Batch-06	compact-competitor	CC-C	Memgraph-like in-memory Cypher plus big algorithm catalog	compatibility and algorithm-surface awareness	conflicts with RAM-first premise	none specified in batch table	high against adoption	whole-graph resident memory	RejectAsDefault	product direction changes away from 50GB-on-8GB feasibility
Batch-06	compact-competitor	CC-D	FalkorDB-style sparse-matrix substrate	selected linear-algebra-friendly families	poor fit for universal GDS and Neo4j-like storage story	none specified in batch table	medium	matrix materialization and extra substrate complexity	NeedsAlgorithmBatch	kernel tracing shows major target families map cleanly to sparse algebra with lower RAM
Batch-06	compact-competitor	CC-E	AGE-style PostgreSQL extension hybrid	catalog/publication semantics and SQL/Cypher coexistence caution	not a RAM-first OLAP template and not a Neo4j OLTP clone	none specified in batch table	medium	relational storage overhead and serving-plane complexity	RejectAsStorageTemplate	control-plane lessons turn out essential enough to justify deeper adoption
Batch-10	base-architecture	A	Neo4j OLTP -> Build Store -> flat CSR only	simple published snapshot path and preserved topology oracle	property plane, artifact plane, projection catalog, and runtime workspace remain unsolved	typed sidecars, result/model artifacts, catalog identity, honest estimator discipline	high	hidden sidecar duplication and ad hoc scratch outside the topology plan	RejectAsDefault	prove hard families, catalog semantics, and estimator classes fit honestly without sidecars, artifacts, or runtime workspaces
Batch-10	base-architecture	B	Neo4j OLTP -> Build Store -> flat CSR plus sidecars plus artifact plane	matches long-tail GDS support tiers without multiplying durable graph layouts	still needs disciplined catalog, runtime workspace, spill gates, and writeback semantics	canonical adjacency, typed property plane, result/model artifacts, projection catalog	high	runtime workspace and artifact state can still exceed budgets if estimators are weak	P0-RegisteredCompatible	show a required family that honestly demands a different durable graph topology rather than stronger support planes
Batch-10	base-architecture	C	Neo4j OLTP -> Build Store -> cellular CSR snapshots	may still help locality, bounded rebuilds, and dirty-region publication	not forced by representative, hard-family, or long-tail GDS evidence	locality packaging, dirty-region compaction, optional bounded rebuild	medium	boundary metadata, duplicate cache pressure, and partitioning overhead	NeedsArchitectureSpike	prove a high-value family or workload cannot stay honest on canonical flat publication plus support planes
Batch-10	base-architecture	D	Neo4j OLTP -> Build Store -> hybrid flat plus cellular publication	preserves canonical global scans while leaving room for later locality packaging	duplicates topology and operational complexity unless cells earn their place	same as B plus locality-specific publication semantics	medium-high	duplicate topology, duplicate page-cache competition, and recovery complexity	NeedsArchitectureSpike	show repeated measured wins from cells that outweigh duplicate-layout costs
Batch-10	base-architecture	E	Neo4j OLTP -> Build Store -> multi-generation snapshot catalog	remains required for graph identity, publication, rollback, retention, and estimator reporting	still needs concrete implementation schema and recovery tests	active generation pointer, watermark identity, retention floor	high	retained generations and stale artifacts can silently multiply disk/cache pressure	P0-RegisteredCompatible	prove a simpler no-catalog publication scheme can preserve the same safety and identity semantics
