req_id	named_roots	repo_root_graph_status	folder_or_subpath_result	exception_or_note
REQ-LEARN-012.0	apache-arrow-rs-src; apache-parquet-format-src; apache-datafusion-src	CBM on apache-arrow-rs-src and apache-datafusion-src; GraphToolLowYield on apache-parquet-format-src	arrow-array; arrow-buffer; arrow-ipc; parquet; datafusion/datasource-parquet	Parquet format repo is intentionally text-first
REQ-LEARN-013.0	apache-datafusion-src	CbmSemanticReadyCgcLowYield	datafusion/catalog; datafusion/expr; datafusion/sql; datafusion/optimizer; datafusion/physical-plan; datafusion/execution; datafusion/session	Existing pattern scope inside gitrefrepo/apache-datafusion-src
REQ-LEARN-014.0	kuzu-src; ladybug-src; falkordb-src; memgraph-src; age-src	CbmSemanticReadyCgcLowYield on all five	repo roots only	All named repo roots exist locally
REQ-LEARN-015.0	gapbs-src; snap-src; lagraph-src; graphblas-src	DualSemanticReady on gapbs-src; CBM on snap-src; lagraph-src; graphblas-src	repo roots only	All named repo roots exist locally
REQ-LEARN-019.0	ladybug-src	CbmSemanticReadyCgcLowYield	docs/icebug-disk.md; docs/index_build_recovery.md; docs/morsel_parallelism.md; src/storage; src/transaction; src/planner; src/optimizer; src/processor; src/graph	All named docs and source folders exist under gitrefrepo/ladybug-src
REQ-LEARN-020.0	neo4j-gds-client-src; graph-data-science-src; gds-agent-src; neo4j-graph-examples	CBM on neo4j-gds-client-src and gds-agent-src; DualSemanticReady on graph-data-science-src; optional missing on neo4j-graph-examples	neo4j-gds-client-src; graph-data-science-src; gds-agent-src	Optional repo neo4j-graph-examples is absent locally
REQ-LEARN-021.0	neo4j-apoc-src; neo4j-apoc-procedures-src	CbmSemanticReadyCgcLowYield on both	repo roots only	All named repo roots exist locally
REQ-LEARN-022.0	cypher-shell-src; cypher-dsl-src; neo4rs-src; neo4j-ogm-src; neo4j-browser-src	DualSemanticReady on cypher-shell-src and neo4rs-src; CBM on cypher-dsl-src; neo4j-ogm-src; neo4j-browser-src	repo roots only	All named repo roots exist locally
REQ-LEARN-023.0	ldbc_graphalytics-src; ldbc_graphalytics_docs-src; ldbc_graphalytics_platforms_graphblas-src; ldbc_snb_interactive_v1_driver-src; ldbc_snb_interactive_v1_impls-src; ldbc_snb_interactive_v2_driver-src; ldbc_snb_interactive_v2_impls-src	GraphToolLowYield on ldbc_graphalytics_docs-src; DualSemanticReady on ldbc_graphalytics_platforms_graphblas-src; CBM on the remaining LDBC repos	repo roots only	All named concrete LDBC roots exist locally
REQ-LEARN-024.0	graphchi-cpp-src; gridgraph-src; minigraph-src; thunderrw-src	CBM on graphchi-cpp-src; DualSemanticReady on gridgraph-src; minigraph-src; thunderrw-src	repo roots only	All named repo roots exist locally
REQ-LEARN-025.0	graphblas-src; lagraph-src; graphblas-pointers-src; ldbc_graphalytics_platforms_graphblas-src; python-graphblas-src; graphblas_sparse_linear_algebra-src; falkordb-src; redisgraph-src	DualSemanticReady on graphblas-pointers-src and ldbc_graphalytics_platforms_graphblas-src; CBM on graphblas-src; lagraph-src; python-graphblas-src; graphblas_sparse_linear_algebra-src; falkordb-src; redisgraph-src	repo roots only	All named repo roots exist locally
REQ-LEARN-026.0	petgraph-src; rustworkx-src; sprs-src; sparsetools-src; networkit-src; igraph-src	DualSemanticReady on petgraph-src; sprs-src; sparsetools-src; CBM on rustworkx-src; networkit-src; igraph-src	repo roots only	All named repo roots exist locally
REQ-LEARN-027.0	tracing-src; jemalloc-src; neo4j-gds-src; duckdb-src; clickhouse-src; ladybug-src	DualSemanticReady on tracing-src; CBM on jemalloc-src; neo4j-gds-src; duckdb-src; ladybug-src; NeedsRerun on clickhouse-src	repo roots only	clickhouse-src remains the lone graph-tool-stale outlier
REQ-LEARN-028.0	differential-dataflow-src; timely-dataflow-src; materialize-src; risingwave-src	DualSemanticReady on timely-dataflow-src; CBM on differential-dataflow-src; materialize-src; risingwave-src	repo roots only	All named repo roots exist locally
REQ-LEARN-029.0	helix-db-src; nornicdb-src; qdrant-src; tantivy-src; any cloned Neo4j vector-index paths	CbmSemanticReadyCgcLowYield on helix-db-src; nornicdb-src; qdrant-src; tantivy-src	repo roots only	No extra Neo4j vector-index clone is currently called out in the audit input
REQ-LEARN-031.0	current Knight Bus repo; ladybug-src; duckdb-src; clickhouse-src; redb-src; rocksdb-src; fjall-src	Fresh dual-tool runs on current repo; mixed truthcheck statuses on shelf repos; NeedsRerun on clickhouse-src	docs_PRD03; src; tests; README; snapshot/runtime files	Current repo is freshly re-indexed in both tools; clickhouse-src still needs graph-tool rerun
REQ-LEARN-032.0	current Knight Bus repo	Fresh dual-tool runs complete	docs_PRD03; src; tests; README; snapshot/runtime files	Workspace-level graph indexing plus direct reads is the correct coverage model
