source_batch	capability	topology_need	sidecar_need	build_store_need	snapshot_catalog_need	algorithm_state	memory_plan	execution_strategy	support_status	falsifier
Batch-03	cleanup and compaction	none directly	none	snapshot-aware GC threshold and reclaim bookkeeping	oldest pinned generation or seqno	none	cleanup must count background buffers and backlog	compact only up to safe-to-GC point	NeedsArchitectureSpike	cleanup can delete obsolete build artifacts without consulting reader or generation state
Batch-03	user OLAP query serving from Build Store	n/a	n/a	forbidden by PRD boundary	forbidden by PRD boundary	n/a	hidden RAM and semantic bleed	do not allow	ExplicitlyOutOfScope	PRD later changes to make the Build Store a user-visible query plane
Batch-04	staged generation build	complete topology and sidecar file set in private location	labels/types/properties/results/models stay generation-local	validation reports, counts, checksums, source watermark	staged generation id not visible to ordinary readers	none	build scratch must not count as active-serving footprint	write privately, validate, then publish	P0-RegisteredCompatible	ordinary readers can safely open partially built generation directories
Batch-04	active generation selection	none directly	none directly	durable source watermark and validation result	active-generation pointer plus generation metadata	none	metadata-only	atomic pointer or manifest swap	NeedsArchitectureSpike	directory scan plus latest timestamp is enough and safe
Batch-04	reader pinning and retention	old generation files remain immutable	sidecars remain pinned with topology	retired-generation bookkeeping	retained-generation floor or reader refcount state	none	retained disk and cache pressure must be budgeted	keep active readers on W while W+1 becomes current	NeedsArchitectureSpike	readers never outlive publication and old generations can be deleted immediately
Batch-04	rollback to prior generation	previous immutable generation still exists	matching sidecars still exist	build failure does not corrupt prior metadata	active pointer can move back to prior generation	none	rollback metadata is small	pointer swap back to last good generation	NeedsArchitectureSpike	rollback is unnecessary because publication is infallible or always rebuildable immediately
Batch-04	query-time directory discovery without catalog	n/a	n/a	n/a	forbidden as sole publication mechanism	none	risks undefined file visibility and cleanup races	do not rely on it	ExplicitlyOutOfScope	a fully specified directory convention proves just as safe as a real catalog pointer
Batch-05	Bolt core session and transaction behavior	none directly	none	none	none	none	metadata-sized	front-door protocol state machine over OLTP and OLAP routing	NeedsArchitectureSpike	official drivers or testkit succeed against materially different queue/state behavior
Batch-05	Cypher CALL, YIELD, and procedure signatures	none directly	value and result marshalling tables	none	none	none	metadata-sized	typed procedure registry plus value conversion layer	NeedsArchitectureSpike	target clients never rely on typed procedure/value semantics
Batch-05	Neo4j-shaped OLTP truth	record-store chain/group traversal and property records	none	WAL, locks, indexes, tx machinery later	none	transactional state only	OLTP memory, not OLAP memory	keep OLTP separate from published OLAP snapshots	P0-RegisteredCompatible	OLAP must read directly from record chains to stay compatible
Batch-05	GDS user workflow compatibility	published graph projection identity plus algorithm entrypoints	labels/types/weights/properties/results/models	projection/build metadata	named graph generations	family-dependent	can be dominated by algorithm state	GDS procedures route to published snapshots and sidecars	NeedsArchitectureSpike	real client workflows rely only on a tiny algorithm subset and no catalog/model semantics
Batch-05	APOC compatibility boundary	mixed	mixed	mixed	mixed	mixed	mixed	tiered support matrix: exact, later, unsupported-but-registered	NeedsArchitectureSpike	actual user requirements involve only a tiny APOC subset
Batch-05	Driver and ecosystem canaries	none directly	none directly	none	none	none	metadata-sized	preserve driver-facing behavior at the wire and result surfaces	P0-RegisteredCompatible	official drivers stop reflecting the compatibility burden that matters to v003
Batch-06	typed scalar properties	flat CSR or dual CSR only for adjacency	typed scalar columns, nulls, dictionaries where useful	property dictionary and schema metadata	generation-scoped sidecar manifest	low	hot columns can mmap; cold columns can stream	direct column scan plus adjacency join	P0-RegisteredCompatible	procedures rarely use projected properties, making typed sidecars overkill
Batch-06	label and relationship-type filters	adjacency plus node/rel ids	bitsets or dictionary-backed categorical columns	build-time derived label/type facts	sidecar version tied to snapshot generation	low	explicit bitset or categorical-column bytes	pushdown before neighbor expansion where possible	P0-RegisteredCompatible	all useful filters can be compiled into separate topology shards more cheaply
Batch-06	dense vector or embedding properties	adjacency optional by algorithm	fixed-size-list sidecar, explicit nulls	dimension metadata and schema checks	generation and model/result manifest entries	medium to high	no eager full-materialization; stream or chunk	sidecar scan plus algorithm-specific state	NeedsArchitectureSpike	fixed-dimension vectors are not common enough to justify first-class layout now
Batch-06	cold wide property planes	none beyond id mapping	Parquet-like cold columns with stats and skipping	compression, encoding, and row-group metadata	generation-scoped column manifests	low to medium	page-cache and decode budget must be named	streamed scan or selective prune	P0-RegisteredCompatible	cold-column decode cost dominates enough to break laptop-scale behavior
Batch-06	projection catalog and explainable planning	none directly	projection selectors, property lists, orientation metadata	projection-build metadata and stats	named graph generations and plan metadata	low	metadata plus estimate objects	graph-native planner with explain output	P0-RegisteredCompatible	a tiny router without explain or pushdown contracts proves sufficient
Batch-06	global algorithms with bounded memory	flat global edge stream from CSR	optional weights/properties sidecars	optional spill files and temp accounting	generation pinning during execution	medium to very high	explicit state, spill, direct-buffer, and scratch budgets	global stream plus spill or fail-fast	NeedsArchitectureSpike	first shipped algorithm slice never needs spill or large vectors
Batch-06	published immutable graph snapshot	flat CSR or dual CSR topology	typed sidecars and manifests only, no duplicate full topology	publish/validate/recover pipeline	active generation pointer, rollback, retention	low at serve time	build-time scratch must be budgeted	build once, publish atomically, read many	P0-RegisteredCompatible	near-real-time OLAP freshness becomes mandatory and immutable publication is too stale
Batch-06	competitor-inspired execution improvements	keep flat CSR as oracle	optional result/model sidecars	only if build plane can publish them safely	generation-aware artifact registration	medium	budget each added artifact separately	opt-in later execution profiles	P2-ImplementedLater	later evidence shows these layers add complexity without real RAM wins
Batch-07	PageRank	canonical forward adjacency; optional weight-aware degree logic	relationship-weight sidecar; node-result property sidecar	projection metadata and optional derived degree facts	named graph generation and result-target identity	per-node double rank vectors plus iteration state	O(V) vectors plus explicit scratch and page-cache accounting; strict mode must stream or reject	global edge scan over canonical CSR with `mmap` fast mode and explicit-I/O strict mode	P1-ImplementedExactLowRam	later parity or estimator evidence proves PageRank needs durable non-canonical topology
Batch-07	BFS / traversal	canonical forward adjacency; reverse helpful for related procedures	little or none beyond source/target config metadata	stream and mutate/write procedure metadata	named graph generation identity	visited bitset, parent/depth arrays, frontier chunks	bounded frontier, visited, and parent-state accounting	tile-free canonical traversal first; locality packaging only if measured	P1-ImplementedExactLowRam	later evidence proves representative traversal workloads cannot stay honest without cell-local packaging
Batch-07	WCC	canonical adjacency with logical undirected or reverse-oriented view	optional seed or weight sidecars	component-result sidecar metadata	named graph generation and write target identity	disjoint-set or component-id arrays	per-node component state plus optional seed/weight accounting	canonical adjacency with logical orientation layer	P1-ImplementedExactLowRam	later traces prove WCC requires durable alternate topology rather than logical orientation over canonical adjacency
Batch-07	NodeSimilarity	canonical adjacency for candidate access	optional weight sidecar; component sidecar; relationship-result artifact	candidate-pruning and result-artifact planning metadata	named graph generation plus relationship-result identity	topK heaps, candidate lists, optional component prepass	high candidate-growth risk; must name prune, spill, and cutoff strategy	canonical adjacency plus pruning/spill or later alternate execution kernel	P2-ImplementedLater	exact large-scale candidate generation proves intractable without a different substrate than canonical topology plus sidecars
Batch-07	FastRP	canonical adjacency	feature-property sidecars; optional relationship-weight sidecar; embedding-result sidecar	feature-shape and embedding-artifact metadata	named graph generation plus embedding artifact identity	dense embedding vectors and propagation state	dimension-driven vector budgets and hard rejection gates	canonical adjacency plus feature plane and bounded embedding workspace	P2-ImplementedLater	feature and embedding state proves too large to support honestly with the current substrate and gating model
Batch-07	general low-RAM global scan profile	canonical adjacency stream	optional typed sidecars for weights and properties	stream-buffer and spill-accounting metadata	generation pinning during long scans	window buffers, spill files, and result scratch	explicit direct-buffer, spill, and scratch budgets	global direct stream over canonical snapshot, not extra durable topology	P1-ImplementedExactLowRam	benchmark and telemetry evidence later show that global scans cannot stay within a deterministic RAM envelope without new durable packaging
Batch-08	Louvain	canonical adjacency with logical undirected view	optional weight and seed sidecars	workspace metadata for aggregated graphs and intermediate communities	named graph generation plus mutate/write target identity	community ids, modularity state, aggregated graph workspace	high runtime workspace and modularity scratch budgets	canonical topology plus runtime contracted-graph workspace	NeedsArchitectureSpike	later evidence shows runtime workspace cannot support Louvain honestly without a different durable graph layout
Batch-08	Leiden	canonical undirected adjacency	optional weight and seed sidecars	workspace metadata for multi-phase refinement and aggregation	named graph generation plus mutate/write target identity	multi-phase community arrays and aggregated graph workspace	very high runtime workspace and phase-accounting budgets	canonical topology plus stricter runtime workspace and orientation checks	NeedsArchitectureSpike	later evidence shows Leiden needs durable per-family topology or unbounded hidden workspace
Batch-08	TriangleCount	sorted or intersection-friendly logical undirected adjacency	little beyond optional result property metadata	lightweight projection metadata for undirected view	named graph generation plus result-target identity	intersection buffers and degree-gated neighborhood state	intersection buffers, degree gates, and output arrays must be explicit	direct neighborhood intersection over canonical adjacency first	P1-ImplementedExactLowRam	later parity work shows triangle counting cannot remain exact or memory-honest without durable alternate topology
Batch-08	Node2Vec	canonical adjacency for walk generation	optional relationship weights; embedding-result artifacts	training and walk-corpus metadata	named graph generation plus embedding artifact identity	walk buffers, corpus state, RNG state, training workspace	very high scratch and artifact pressure; must spill or reject	canonical topology plus spillable walk/training workspace	NeedsArchitectureSpike	large-scale Node2Vec cannot be made honest without a fundamentally different substrate or support tier
Batch-08	KNN	node identity and optional graph seeding are enough	mandatory typed property plane; relationship-result artifact	property-shape, filter, and result-artifact metadata	named graph generation plus relationship-result identity	topK heaps and candidate lists	very high property-plane and candidate-state pressure	property-plane-first execution with topology only for identity/filter context	P2-ImplementedLater	required KNN modes prove impossible without topology-centric changes instead of property-plane and artifact support
Batch-08	FilteredKnn	graph/schema metadata for filter validation	mandatory typed property plane; relationship-result artifact	filter-validation and result-artifact metadata	named graph generation plus relationship-result identity	topK heaps, candidate lists, and filter state	very high candidate and filter-state pressure	same as KNN plus metadata/filter layer	P2-ImplementedLater	filter semantics or candidate growth later prove incompatible with property-plane-first execution
Batch-08	pipeline and model surface	graph handles only indirectly	often yes via features, embeddings, and result artifacts	model catalog, pipeline catalog, and artifact registration metadata	graph, model, and pipeline identities	model bytes, train/predict buffers, and pipeline composition state	high artifact and metadata pressure; topology is secondary	metadata and artifact plane first; topology stays canonical	P0-RegisteredCompatible	later compatibility evidence shows users do not rely on model or pipeline surfaces at all
