edge_id	source_pattern_id	target_pattern_id	relationship_type	rationale	epistemic_label	source_paper_ids	source_pointer_ids
PEDGE-0011	PAT-EXPLORE-SUPERSET-VERIFY-RESULTS	PAT-NAVIGATE-BINARY-RERANK-EXACTLY	SHARES_MECHANISM_WITH	premises=both use compact permissive state for candidate discovery and exact original data for final selection; assumptions=quantized navigation and speculative attribute filtering can be compared as candidate-stage approximations; uncertainty=one approximates distance while the other approximates predicate membership.	DERIVED_INFERENCE	PAPER-2605.02171|PAPER-2605.17992	PAT-EXPLORE-SUPERSET-VERIFY-RESULTS#SP-001|PAT-NAVIGATE-BINARY-RERANK-EXACTLY#SP-001
PEDGE-0012	PAT-NAVIGATE-BINARY-RERANK-EXACTLY	PAT-PROBE-QUANTIZED-TOPOLOGY-COMPATIBILITY	COMPLEMENTS	premises=the probe estimates whether binary construction preserves full-precision topology before the navigation and exact-rerank plan is selected; assumptions=the sampled overlap criterion is used as an admission diagnostic rather than a correctness proof; uncertainty=the source does not establish a universal cutoff.	DERIVED_INFERENCE	PAPER-2605.02171	PAT-NAVIGATE-BINARY-RERANK-EXACTLY#SP-001|PAT-PROBE-QUANTIZED-TOPOLOGY-COMPATIBILITY#SP-001
PEDGE-0013	PAT-ROUTE-FILTERS-BY-COST	PAT-SCAN-RARE-FILTER-FREQUENT	COMPLEMENTS	premises=cost routing chooses a filtering stage while rare-posting scans plus frequent Bloom checks implement one hybrid stage choice; assumptions=the routing summaries include posting selectivity and approximate-filter cost; uncertainty=the source reports workload-specific routing behavior.	DERIVED_INFERENCE	PAPER-2605.17992	PAT-ROUTE-FILTERS-BY-COST#SP-001|PAT-SCAN-RARE-FILTER-FREQUENT#SP-001
PEDGE-0014	PAT-REACTIVATE-CHANGED-NEIGHBORS-ONLY	PAT-RECOMPUTE-NEIGHBOR-WEIGHTS-LOCALLY	COMPLEMENTS	premises=reactivation limits which vertices are revisited while local recomputation defines the work performed for each revisited vertex; assumptions=both mechanisms observe the same current label state; uncertainty=asynchronous ordering can change intermediate states.	DERIVED_INFERENCE	PAPER-1304.4453	PAT-REACTIVATE-CHANGED-NEIGHBORS-ONLY#SP-001|PAT-RECOMPUTE-NEIGHBOR-WEIGHTS-LOCALLY#SP-001
PEDGE-0015	PAT-MERGE-THREAD-LOCAL-COARSENINGS	PAT-RECOMPUTE-NEIGHBOR-WEIGHTS-LOCALLY	COMPLEMENTS	premises=local weight recomputation accelerates the move phase and thread-local merging parallelizes the subsequent coarsening phase; assumptions=both are applied within the same multilevel Louvain pipeline; uncertainty=their combined peak memory and crossover are not isolated.	DERIVED_INFERENCE	PAPER-1304.4453	PAT-MERGE-THREAD-LOCAL-COARSENINGS#SP-001|PAT-RECOMPUTE-NEIGHBOR-WEIGHTS-LOCALLY#SP-001
PEDGE-0016	PAT-BOUND-OVERRUN-FROM-SAMPLES	PAT-CHECKPOINT-PRUNING-BETWEEN-STALLS	COMPLEMENTS	premises=the sampled estimator supplies the execution budget at which resumable pruning saves state and yields; assumptions=checkpoint checks observe the same budget clock used by the estimator; uncertainty=scheduler and timer overhead are not independently measured.	DERIVED_INFERENCE	PAPER-2605.19335	PAT-BOUND-OVERRUN-FROM-SAMPLES#SP-001|PAT-CHECKPOINT-PRUNING-BETWEEN-STALLS#SP-002
PEDGE-0017	PAT-BOUND-OVERRUN-FROM-SAMPLES	PAT-TUNE-IDLE-WINDOW-UTILIZATION	COMPLEMENTS	premises=overrun budgeting proposes a per-hop allowance and feedback tuning scales its usable fraction from end-to-end latency; assumptions=both controllers receive timely representative observations; uncertainty=joint stability under abrupt shifts is not proven.	DERIVED_INFERENCE	PAPER-2605.19335	PAT-BOUND-OVERRUN-FROM-SAMPLES#SP-001|PAT-TUNE-IDLE-WINDOW-UTILIZATION#SP-001
PEDGE-0018	PAT-CHECKPOINT-PRUNING-BETWEEN-STALLS	PAT-TUNE-IDLE-WINDOW-UTILIZATION	COMPLEMENTS	premises=checkpointing makes update work interruptible and utilization tuning decides how aggressively those slices are admitted; assumptions=yield latency is short relative to foreground sensitivity; uncertainty=the paper evaluates their combination but not every scheduler regime.	DERIVED_INFERENCE	PAPER-2605.19335	PAT-CHECKPOINT-PRUNING-BETWEEN-STALLS#SP-001|PAT-TUNE-IDLE-WINDOW-UTILIZATION#SP-002
PEDGE-0019	PAT-PROBE-SMALLEST-SET-FIRST	PAT-REFINE-HASHED-CANDIDATES-EXACTLY	COMPLEMENTS	premises=hashed refinement reduces exact candidates and smallest-set probing provides an asymmetric exact intersection kernel for reduced sets; assumptions=the reduced expression contains intersections represented by membership dictionaries; uncertainty=the paper does not benchmark the two as an isolated combined plan.	DERIVED_INFERENCE	PAPER-0708.3259	PAT-PROBE-SMALLEST-SET-FIRST#SP-001|PAT-REFINE-HASHED-CANDIDATES-EXACTLY#SP-002
PEDGE-0020	PAT-BALANCE-BUCKETED-PACKED-SETS	PAT-REFINE-HASHED-CANDIDATES-EXACTLY	COMPLEMENTS	premises=balanced packed buckets implement compact word-parallel set operations used by the multi-resolution hash refinement; assumptions=the selected resolutions retain the balanced bucket representation; uncertainty=component-level constants are analytical rather than independently measured.	DERIVED_INFERENCE	PAPER-0708.3259	PAT-BALANCE-BUCKETED-PACKED-SETS#SP-001|PAT-REFINE-HASHED-CANDIDATES-EXACTLY#SP-001
PEDGE-0021	PAT-BOUND-SEARCH-CANDIDATE-FRONTIER	PAT-PRUNE-NEIGHBORS-BY-DIVERSITY	COMPLEMENTS	premises=bounded best-first search limits the live candidate frontier, while diversity pruning shapes the graph traversed by that frontier; assumptions=both mechanisms are used in one graph-ANNS pipeline; uncertainty=the paper does not independently reproduce every joint parameter interaction	DERIVED_INFERENCE	PAPER-2101.12631	PAT-BOUND-SEARCH-CANDIDATE-FRONTIER#SP-001|PAT-PRUNE-NEIGHBORS-BY-DIVERSITY#SP-001
PEDGE-0022	PAT-PIPELINE-ASYNC-IO-COMPUTE	PAT-PRIORITIZE-RESIDENT-ACTIVE-BLOCKS	COMPLEMENTS	premises=the pipeline overlaps block reads with execution, while resident-first scheduling supplies immediately executable work; assumptions=both mechanisms operate under ACGraph's block state machine; uncertainty=their individual contributions are not isolated for every workload	DERIVED_INFERENCE	PAPER-2511.07886	PAT-PIPELINE-ASYNC-IO-COMPUTE#SP-002|PAT-PRIORITIZE-RESIDENT-ACTIVE-BLOCKS#SP-002
PEDGE-0023	PAT-INLINE-LOW-DEGREE-ADJACENCIES	PAT-PRIORITIZE-RESIDENT-ACTIVE-BLOCKS	COMPLEMENTS	premises=inline low-degree adjacency avoids some block reads, while resident-first scheduling prioritizes active work whose blocks are already available; assumptions=the hybrid representation feeds the same asynchronous executor; uncertainty=the source does not publish a complete factorial ablation of representation by scheduler	DERIVED_INFERENCE	PAPER-2511.07886	PAT-INLINE-LOW-DEGREE-ADJACENCIES#SP-001|PAT-PRIORITIZE-RESIDENT-ACTIVE-BLOCKS#SP-005
PEDGE-0024	PAT-INFER-UNWEIGHTED-EDGE-VALUES	PAT-SKIP-FINALIZED-VECTOR-CHUNKS	COMPLEMENTS	premises=implicit edge values reduce stored bytes, while finalized-chunk skipping reduces later BFS work; assumptions=both are enabled in the SlimSell BFS representation; uncertainty=the source's evaluation combines several layout and execution optimizations	DERIVED_INFERENCE	PAPER-2010.09913	PAT-INFER-UNWEIGHTED-EDGE-VALUES#SP-001|PAT-SKIP-FINALIZED-VECTOR-CHUNKS#SP-001
PEDGE-0025	PAT-DECOMPOSE-DIFFUSION-INTO-STAGES	PAT-SELECT-HIGH-RESIDUAL-SUBGRAPHS	COMPLEMENTS	premises=linear stage decomposition exposes residual mass between stages, while residual ranking chooses which next-stage subgraphs to process; assumptions=the selector consumes the residual state produced by the decomposition; uncertainty=precision and work remain graph- and parameter-dependent	DERIVED_INFERENCE	PAPER-2104.09616	PAT-DECOMPOSE-DIFFUSION-INTO-STAGES#SP-002|PAT-SELECT-HIGH-RESIDUAL-SUBGRAPHS#SP-001
PEDGE-0026	PAT-PACK-NONEMPTY-SPARSE-ROWS	PAT-STREAM-SPARSE-KEEP-DENSE	COMPLEMENTS	premises=SCSR reduces the sparse bytes streamed from SSD, while semi-external placement determines repeated sparse scans and dense residency; assumptions=the packed representation is used by the streaming SpMM implementation; uncertainty=the relative benefit changes with clustering, partition width, and device behavior	DERIVED_INFERENCE	PAPER-1602.02864	PAT-PACK-NONEMPTY-SPARSE-ROWS#SP-005|PAT-STREAM-SPARSE-KEEP-DENSE#SP-003
PEDGE-0027	PAT-BALANCE-PHASE-SPECIFIC-WORKLOADS	PAT-RELABEL-VERTICES-FOR-LOCALITY	COMPLEMENTS	The source states that RCM improves locality but induces a degree-ordered load imbalance addressed by the phase-specific schedulers.	SOURCE_CLAIM	PAPER-2012.10026	PAT-BALANCE-PHASE-SPECIFIC-WORKLOADS#SP-031|PAT-BALANCE-PHASE-SPECIFIC-WORKLOADS#SP-032|PAT-RELABEL-VERTICES-FOR-LOCALITY#SP-025
PEDGE-0028	PAT-COLOCATE-NEIGHBORS-WITHIN-PAGES	PAT-SEARCH-EVERY-FETCHED-RECORD	COMPLEMENTS	Finding 8 reports that shuffle raises page locality while page search consumes that locality by evaluating all in-page records.	SOURCE_CLAIM	PAPER-2602.21514	PAT-COLOCATE-NEIGHBORS-WITHIN-PAGES#SP-016|PAT-SEARCH-EVERY-FETCHED-RECORD#SP-019
PEDGE-0029	PAT-GROW-BEAM-WIDTH-PROGRESSIVELY	PAT-NAVIGATE-MEMORY-BEFORE-DISK	COMPLEMENTS	The source's evaluated combination uses better memory entry points to shorten paths and dynamic width to suppress waste across the remaining disk search.	SOURCE_CLAIM	PAPER-2602.21514	PAT-GROW-BEAM-WIDTH-PROGRESSIVELY#SP-023|PAT-NAVIGATE-MEMORY-BEFORE-DISK#SP-012
PEDGE-0030	PAT-COLOCATE-NEIGHBORS-WITHIN-PAGES	PAT-NAVIGATE-MEMORY-BEFORE-DISK	COMPLEMENTS	The source reports that adding MemGraph to page shuffle plus page search further reduces required hops while the page layout improves each fetched page.	SOURCE_CLAIM	PAPER-2602.21514	PAT-COLOCATE-NEIGHBORS-WITHIN-PAGES#SP-016|PAT-NAVIGATE-MEMORY-BEFORE-DISK#SP-012
PEDGE-0031	PAT-RELABEL-VERTICES-FOR-LOCALITY	PAT-SHRINK-VISITED-PARTITION-BOUNDS	COMPLEMENTS	The source states that RCM clusters visited vertices so contiguous bottom-up partitions are more likely to shrink between levels.	SOURCE_CLAIM	PAPER-2012.10026	PAT-RELABEL-VERTICES-FOR-LOCALITY#SP-028|PAT-SHRINK-VISITED-PARTITION-BOUNDS#SP-036|PAT-SHRINK-VISITED-PARTITION-BOUNDS#SP-037
PEDGE-0032	PAT-ORDER-QUERIES-WITH-STREAM	PAT-PACK-CONNECTIVITY-STATE-PREFIX	COMPLEMENTS	The point-in-time query proof relies on the packed connectivity prefix and its builder invariant to determine the last processor able to change endpoint labels.	SOURCE_CLAIM	PAPER-2112.00098	PAT-ORDER-QUERIES-WITH-STREAM#SP-051|PAT-PACK-CONNECTIVITY-STATE-PREFIX#SP-040
PEDGE-0033	PAT-PACK-CONNECTIVITY-STATE-PREFIX	PAT-RECYCLE-SURVIVORS-DURING-AGING	COMPLEMENTS	Aging rebuilds the same packed normal-mode connectivity structure from surviving and newly arriving edges while loader ordering protects the prefix.	SOURCE_CLAIM	PAPER-2112.00098	PAT-PACK-CONNECTIVITY-STATE-PREFIX#SP-040|PAT-RECYCLE-SURVIVORS-DURING-AGING#SP-045|PAT-RECYCLE-SURVIVORS-DURING-AGING#SP-046
PEDGE-0034	PAT-MATERIALIZE-EACH-PIPELINE-STAGE	PAT-RELABEL-VERTICES-FOR-LOCALITY	COMPLEMENTS	premises=The pipeline card makes preparation a separately timed stage, and the relabel card reports a preparation cost that can dominate one traversal; assumptions=A pipeline implementation can place relabeling in a preparation stage without changing graph semantics; uncertainty=Neither paper evaluates this combined pipeline.	DERIVED_INFERENCE	PAPER-1603.01876|PAPER-2012.10026	PAT-MATERIALIZE-EACH-PIPELINE-STAGE#SP-055|PAT-MATERIALIZE-EACH-PIPELINE-STAGE#SP-058|PAT-RELABEL-VERTICES-FOR-LOCALITY#SP-030
PEDGE-0035	PAT-PARTITION-UPDATES-BY-DESTINATION	PAT-RELOG-PREDICTED-ACTIVE-EDGES	COMPLEMENTS	PartitionedVC presents destination update logs and predicted edge logs as separate components: the first bounds message sorting while the second reduces sparse adjacency-page reads.	SOURCE_CLAIM	PAPER-1905.04264	PAT-PARTITION-UPDATES-BY-DESTINATION#SP-002|PAT-RELOG-PREDICTED-ACTIVE-EDGES#SP-001
PEDGE-0036	PAT-PRUNE-SETTLED-SEARCH-STATE	PAT-THRESHOLD-INMEMORY-SKETCH-GROWTH	COMPLEMENTS	EP-BFS combines thresholded edge admission with pruning of settled tree and edge state so released resident slots admit larger later edge batches.	SOURCE_CLAIM	PAPER-2507.12925	PAT-PRUNE-SETTLED-SEARCH-STATE#SP-001|PAT-THRESHOLD-INMEMORY-SKETCH-GROWTH#SP-002
PEDGE-0037	PAT-REFINE-COMMUNITIES-BEFORE-AGGREGATION	PAT-REVISIT-CHANGED-NEIGHBORHOODS-ONLY	COMPLEMENTS	Algorithm A.2 composes fast changed-neighborhood local moving with constrained refinement before aggregate-graph construction.	SOURCE_CLAIM	PAPER-1810.08473	PAT-REFINE-COMMUNITIES-BEFORE-AGGREGATION#SP-005|PAT-REVISIT-CHANGED-NEIGHBORHOODS-ONLY#SP-002
PEDGE-0038	PAT-REACTIVATE-CHANGED-NEIGHBORS-ONLY	PAT-REVISIT-CHANGED-NEIGHBORHOODS-ONLY	SHARES_MECHANISM_WITH	premises=both mechanisms suppress global revisitation by enqueuing only neighbors affected by a changed label or community assignment; assumptions=label-change propagation and community-move propagation are comparable at the changed-neighborhood scheduling level; uncertainty=their objective functions, update ordering, and convergence behavior differ.	DERIVED_INFERENCE	PAPER-1304.4453|PAPER-1810.08473	PAT-REACTIVATE-CHANGED-NEIGHBORS-ONLY#SP-001|PAT-REVISIT-CHANGED-NEIGHBORHOODS-ONLY#SP-001|PAT-REVISIT-CHANGED-NEIGHBORHOODS-ONLY#SP-002
PEDGE-0039	PAT-SWITCH-TRAVERSAL-BY-FRONTIER	PAT-TRACK-VISITED-WITH-BITMAPS	COMPLEMENTS	premises=frontier-size direction switching chooses the traversal schedule while visited bitmaps provide the membership state used by both directions; assumptions=the bitmap representation feeds the same hybrid BFS implementation; uncertainty=the source does not isolate every joint parameter interaction.	DERIVED_INFERENCE	PAPER-2503.00430	PAT-SWITCH-TRAVERSAL-BY-FRONTIER#SP-001|PAT-TRACK-VISITED-WITH-BITMAPS#SP-001
PEDGE-0040	PAT-SORT-THEN-WRITE-DISTANCES	PAT-SWITCH-TRAVERSAL-BY-FRONTIER	COMPLEMENTS	premises=hybrid BFS produces discovered vertices while deferred sorted writes reorganize optional distance output for locality; assumptions=distance materialization is enabled and can be delayed without changing reachability; uncertainty=the optimization is optional and its benefit is platform-dependent.	DERIVED_INFERENCE	PAPER-2503.00430	PAT-SORT-THEN-WRITE-DISTANCES#SP-001|PAT-SWITCH-TRAVERSAL-BY-FRONTIER#SP-001
PEDGE-0041	PAT-BOUND-GLOBAL-SCORE-TABLE	PAT-DECOMPOSE-DIFFUSION-INTO-STAGES	COMPLEMENTS	premises=stage decomposition defines c parallel subgraphs and the fixed c-by-k score table bounds their retained global top-k state; assumptions=the implementation uses the paper's fixed per-subgraph top-k exchange; uncertainty=the table does not bound other accelerator or host state.	DERIVED_INFERENCE	PAPER-2104.09616	PAT-BOUND-GLOBAL-SCORE-TABLE#SP-001|PAT-DECOMPOSE-DIFFUSION-INTO-STAGES#SP-002
PEDGE-0042	PAT-PREFETCH-DISPLACED-SEARCH-STATE	PAT-TUNE-IDLE-WINDOW-UTILIZATION	COMPLEMENTS	premises=idle-window tuning governs admitted background work while displaced-state prefetch restores evicted foreground search state before resumption; assumptions=the same co-execution scheduler observes both mechanisms; uncertainty=their separate and joint effects depend on cache pressure and query timing.	DERIVED_INFERENCE	PAPER-2605.19335	PAT-PREFETCH-DISPLACED-SEARCH-STATE#SP-001|PAT-TUNE-IDLE-WINDOW-UTILIZATION#SP-001
PEDGE-0043	PAT-SORT-THEN-WRITE-DISTANCES	PAT-TRACK-VISITED-WITH-BITMAPS	COMPLEMENTS	premises=the source presents deferred sorted distance writes as an optional extension of bitmap-only BFS discovery; assumptions=distance output is enabled and can be delayed without changing reachability; uncertainty=the source does not isolate the extension under every graph and platform.	DERIVED_INFERENCE	PAPER-2503.00430	PAT-SORT-THEN-WRITE-DISTANCES#SP-001|PAT-SORT-THEN-WRITE-DISTANCES#SP-002|PAT-TRACK-VISITED-WITH-BITMAPS#SP-001|PAT-TRACK-VISITED-WITH-BITMAPS#SP-002
PEDGE-0044	PAT-FILTER-COMPRESSED-RERANK-EXACTLY	PAT-NAVIGATE-BINARY-RERANK-EXACTLY	SHARES_MECHANISM_WITH	premises=both mechanisms use a compact approximate distance representation for candidate guidance and exact original vectors for final reranking; assumptions=PQ and binary guidance are comparable only at this approximate-guidance/exact-rerank level; uncertainty=their topology, error distribution, storage cost, and failure boundaries differ.	DERIVED_INFERENCE	PAPER-2602.21514|PAPER-2605.02171	PAT-FILTER-COMPRESSED-RERANK-EXACTLY#SP-026|PAT-FILTER-COMPRESSED-RERANK-EXACTLY#SP-028|PAT-NAVIGATE-BINARY-RERANK-EXACTLY#SP-001|PAT-NAVIGATE-BINARY-RERANK-EXACTLY#SP-002
PEDGE-0045	PAT-PARTITION-UPDATES-BY-DESTINATION	PAT-STREAM-PARTITIONED-UPDATES-SEQUENTIALLY	SHARES_MECHANISM_WITH	premises=both mechanisms stage updates by destination partition and process one destination interval or partition at a time; assumptions=update logs and scatter bins are comparable at the destination-partition staging level; uncertainty=their vertex state, message aggregation, scheduling, and durability semantics differ.	DERIVED_INFERENCE	PAPER-1709.07122|PAPER-1806.08092|PAPER-1905.04264	PAT-PARTITION-UPDATES-BY-DESTINATION#SP-002|PAT-PARTITION-UPDATES-BY-DESTINATION#SP-003|PAT-PARTITION-UPDATES-BY-DESTINATION#SP-004|PAT-STREAM-PARTITIONED-UPDATES-SEQUENTIALLY#SP-001|PAT-STREAM-PARTITIONED-UPDATES-SEQUENTIALLY#SP-003|PAT-STREAM-PARTITIONED-UPDATES-SEQUENTIALLY#SP-004|PAT-STREAM-PARTITIONED-UPDATES-SEQUENTIALLY#SP-005
PEDGE-0046	PAT-PIPELINE-ASYNC-IO-COMPUTE	PAT-PIPELINE-ASYNCHRONOUS-DISK-READS	SHARES_MECHANISM_WITH	premises=both mechanisms overlap nonblocking storage reads with graph or distance computation; assumptions=the generic out-of-core executor and disk-ANN search are comparable only at the asynchronous I/O-compute overlap level; uncertainty=their task granularity, block scheduling, candidate semantics, and resource bounds differ.	DERIVED_INFERENCE	PAPER-2511.07886|PAPER-2602.21514	PAT-PIPELINE-ASYNC-IO-COMPUTE#SP-001|PAT-PIPELINE-ASYNC-IO-COMPUTE#SP-003|PAT-PIPELINE-ASYNCHRONOUS-DISK-READS#SP-043
PEDGE-0047	PAT-PIPELINE-ASYNCHRONOUS-DISK-READS	PAT-REPLENISH-IO-EACH-COMPLETION	COMPLEMENTS	premises=the source presents asynchronous read-compute overlap first and continuous per-completion request replenishment as a second progressive pipeline optimization; assumptions=both operate in the same disk-search request queue; uncertainty=the paper does not isolate every interaction under all queue depths and devices.	DERIVED_INFERENCE	PAPER-2602.21514	PAT-PIPELINE-ASYNCHRONOUS-DISK-READS#SP-043|PAT-REPLENISH-IO-EACH-COMPLETION#SP-049
