priority	tier	lane	repo	folder	file	kind	line_count	fan_in	fan_out	total_degree	purpose	read_prompt	dossier_path
11	T0_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	procedures/algorithms-facade	procedures/algorithms-facade/src/main/java/org/neo4j/gds/procedures/algorithms/community/LocalCommunityProcedureFacade.java	source	1290	4	163	167	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/011-procedure_surface-LocalCommunityProcedureFacade.md
12	T0_IMPLEMENTATION_COMPLETE_READ	catalog_lifecycle	neo4j-gds-src	core	core/src/main/java/org/neo4j/gds/core/loading/GraphStoreCatalog.java	source	463	145	17	162	Map graph identity, lifecycle, catalog scoping, snapshot ownership, and artifact state.	Read this entire file as a catalog/snapshot lifecycle contract. Extract identities, ownership boundaries, lifecycle transitions, concurrency assumptions, error cases, and what a Rust implementation must persist or reject.	docs_PRD03/reference-learning/gds-v2-dossiers/012-catalog_lifecycle-GraphStoreCatalog.md
13	T0_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	procedures/procedures-facade-api	procedures/procedures-facade-api/src/main/java/org/neo4j/gds/procedures/ProcedureConstants.java	source	26	161	0	161	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/013-procedure_surface-ProcedureConstants.md
14	T0_IMPLEMENTATION_COMPLETE_READ	memory_estimator	neo4j-gds-src	memory-usage	memory-usage/src/main/java/org/neo4j/gds/mem/MemoryEstimations.java	source	860	139	7	146	Extract explicit memory-accounting vocabulary, estimator composition, ranges, and reject-before-run contracts.	Read this entire file as a strict RAM contract. Extract every memory term, range, estimator composition rule, unit, high-water state, rejection condition, and testable invariant.	docs_PRD03/reference-learning/gds-v2-dossiers/014-memory_estimator-MemoryEstimations.md
15	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	config-api	config-api/src/main/java/org/neo4j/gds/config/AlgoBaseConfig.java	source	104	137	9	146	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/015-olap_algorithm-AlgoBaseConfig.md
16	T0_IMPLEMENTATION_COMPLETE_READ	memory_estimator	neo4j-gds-src	memory-usage	memory-usage/src/main/java/org/neo4j/gds/mem/MemoryRange.java	source	161	131	1	132	Extract explicit memory-accounting vocabulary, estimator composition, ranges, and reject-before-run contracts.	Read this entire file as a strict RAM contract. Extract every memory term, range, estimator composition rule, unit, high-water state, rejection condition, and testable invariant.	docs_PRD03/reference-learning/gds-v2-dossiers/016-memory_estimator-MemoryRange.md
17	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/machinery/src/main/java/org/neo4j/gds/applications/algorithms/metadata/NodePropertiesWritten.java	source	25	129	0	129	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/017-olap_algorithm-NodePropertiesWritten.md
18	T0_IMPLEMENTATION_COMPLETE_READ	memory_estimator	neo4j-gds-src	memory-usage	memory-usage/src/main/java/org/neo4j/gds/mem/Estimate.java	source	343	128	1	129	Extract explicit memory-accounting vocabulary, estimator composition, ranges, and reject-before-run contracts.	Read this entire file as a strict RAM contract. Extract every memory term, range, estimator composition rule, unit, high-water state, rejection condition, and testable invariant.	docs_PRD03/reference-learning/gds-v2-dossiers/018-memory_estimator-Estimate.md
19	T0_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	procedures/algorithms-facade	procedures/algorithms-facade/src/main/java/org/neo4j/gds/procedures/algorithms/centrality/LocalCentralityProcedureFacade.java	source	1323	2	114	116	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/019-procedure_surface-LocalCentralityProcedureFacade.md
20	T0_IMPLEMENTATION_COMPLETE_READ	projection_build	neo4j-gds-src	graph-projection-api	graph-projection-api/src/main/java/org/neo4j/gds/core/Aggregation.java	source	152	111	1	112	Map how Neo4j-shaped inputs become projected graph topology, labels, relationship types, orientation, and properties.	Read this entire file as a Projection Build Store contract. Extract the input shape, normalized facts, dense-id/label/type/property semantics, defaults, aggregation/orientation behavior, and validation rules.	docs_PRD03/reference-learning/gds-v2-dossiers/020-projection_build-Aggregation.md
21	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/machinery/src/main/java/org/neo4j/gds/applications/algorithms/machinery/ResultBuilder.java	source	49	109	2	111	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/021-olap_algorithm-ResultBuilder.md
22	T0_IMPLEMENTATION_COMPLETE_READ	projection_build	neo4j-gds-src	graph-projection-api	graph-projection-api/src/main/java/org/neo4j/gds/api/DefaultValue.java	source	272	107	4	111	Map how Neo4j-shaped inputs become projected graph topology, labels, relationship types, orientation, and properties.	Read this entire file as a Projection Build Store contract. Extract the input shape, normalized facts, dense-id/label/type/property semantics, defaults, aggregation/orientation behavior, and validation rules.	docs_PRD03/reference-learning/gds-v2-dossiers/022-projection_build-DefaultValue.md
23	T0_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	procedures/algorithms-facade	procedures/algorithms-facade/src/main/java/org/neo4j/gds/procedures/algorithms/pathfinding/LocalPathFindingProcedureFacade.java	source	1103	1	107	108	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/023-procedure_surface-LocalPathFindingProcedureFacade.md
24	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	algo-common	algo-common/src/main/java/org/neo4j/gds/Algorithm.java	source	47	100	2	102	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/024-olap_algorithm-Algorithm.md
25	T0_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	procedures/facade-api	procedures/facade-api/algorithms-facade-common/src/main/java/org/neo4j/gds/procedures/algorithms/stubs/MutateStub.java	source	55	99	2	101	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/025-procedure_surface-MutateStub.md
26	T0_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	procedures/pipelines-facade	procedures/pipelines-facade/src/main/java/org/neo4j/gds/procedures/pipelines/PipelineApplications.java	source	964	5	96	101	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/026-procedure_surface-PipelineApplications.md
27	T0_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	procedures/algorithms-facade-api	procedures/algorithms-facade-api/src/main/java/org/neo4j/gds/procedures/algorithms/AlgorithmsProcedureFacade.java	source	88	83	7	90	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/027-procedure_surface-AlgorithmsProcedureFacade.md
28	T0_IMPLEMENTATION_COMPLETE_READ	catalog_lifecycle	neo4j-gds-src	model-catalog-api	model-catalog-api/src/main/java/org/neo4j/gds/core/model/ModelCatalog.java	source	162	81	3	84	Map graph identity, lifecycle, catalog scoping, snapshot ownership, and artifact state.	Read this entire file as a catalog/snapshot lifecycle contract. Extract identities, ownership boundaries, lifecycle transitions, concurrency assumptions, error cases, and what a Rust implementation must persist or reject.	docs_PRD03/reference-learning/gds-v2-dossiers/028-catalog_lifecycle-ModelCatalog.md
29	T0_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	neo4j-api	neo4j-api/src/main/java/org/neo4j/gds/api/ProcedureReturnColumns.java	source	27	82	0	82	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/029-procedure_surface-ProcedureReturnColumns.md
30	T0_IMPLEMENTATION_COMPLETE_READ	catalog_lifecycle	neo4j-gds-src	applications/graph-store-catalog	applications/graph-store-catalog/src/main/java/org/neo4j/gds/applications/graphstorecatalog/DefaultGraphCatalogApplications.java	source	1160	2	74	76	Map graph identity, lifecycle, catalog scoping, snapshot ownership, and artifact state.	Read this entire file as a catalog/snapshot lifecycle contract. Extract identities, ownership boundaries, lifecycle transitions, concurrency assumptions, error cases, and what a Rust implementation must persist or reject.	docs_PRD03/reference-learning/gds-v2-dossiers/030-catalog_lifecycle-DefaultGraphCatalogApplications.md
31	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/machinery/src/main/java/org/neo4j/gds/applications/algorithms/machinery/AlgorithmLabel.java	source	170	73	2	75	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/031-olap_algorithm-AlgorithmLabel.md
32	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/community/src/main/java/org/neo4j/gds/applications/algorithms/community/CommunityAlgorithms.java	source	528	9	65	74	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/032-olap_algorithm-CommunityAlgorithms.md
33	T0_IMPLEMENTATION_COMPLETE_READ	catalog_lifecycle	neo4j-gds-src	model-catalog-api	model-catalog-api/src/main/java/org/neo4j/gds/core/model/Model.java	source	131	65	6	71	Map graph identity, lifecycle, catalog scoping, snapshot ownership, and artifact state.	Read this entire file as a catalog/snapshot lifecycle contract. Extract identities, ownership boundaries, lifecycle transitions, concurrency assumptions, error cases, and what a Rust implementation must persist or reject.	docs_PRD03/reference-learning/gds-v2-dossiers/033-catalog_lifecycle-Model.md
34	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/machinery/src/main/java/org/neo4j/gds/applications/algorithms/machinery/RequestScopedDependencies.java	source	50	62	9	71	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/034-olap_algorithm-RequestScopedDependencies.md
35	T0_IMPLEMENTATION_COMPLETE_READ	memory_estimator	neo4j-gds-src	memory-usage	memory-usage/src/main/java/org/neo4j/gds/mem/MemoryEstimateDefinition.java	source	25	69	1	70	Extract explicit memory-accounting vocabulary, estimator composition, ranges, and reject-before-run contracts.	Read this entire file as a strict RAM contract. Extract every memory term, range, estimator composition rule, unit, high-water state, rejection condition, and testable invariant.	docs_PRD03/reference-learning/gds-v2-dossiers/035-memory_estimator-MemoryEstimateDefinition.md
36	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	executor	executor/src/main/java/org/neo4j/gds/executor/AlgorithmSpec.java	source	68	62	8	70	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/036-olap_algorithm-AlgorithmSpec.md
37	T0_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	proc/common	proc/common/src/main/java/org/neo4j/gds/functions/AsNodeFunc.java	source	57	68	1	69	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/037-procedure_surface-AsNodeFunc.md
38	T0_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	applications/algorithms	applications/algorithms/machinery/src/main/java/org/neo4j/gds/procedures/algorithms/configuration/NewConfigFunction.java	source	30	66	2	68	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/038-procedure_surface-NewConfigFunction.md
39	T0_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	procedures/algorithms-facade	procedures/algorithms-facade/src/main/java/org/neo4j/gds/procedures/algorithms/stubs/GenericStub.java	source	121	59	9	68	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/039-procedure_surface-GenericStub.md
40	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/path-finding/src/main/java/org/neo4j/gds/applications/algorithms/pathfinding/PathFindingAlgorithms.java	source	553	14	54	68	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/040-olap_algorithm-PathFindingAlgorithms.md
41	T0_IMPLEMENTATION_COMPLETE_READ	projection_build	neo4j-gds-src	graph-projection-api	graph-projection-api/src/main/java/org/neo4j/gds/PropertyMapping.java	source	229	60	6	66	Map how Neo4j-shaped inputs become projected graph topology, labels, relationship types, orientation, and properties.	Read this entire file as a Projection Build Store contract. Extract the input shape, normalized facts, dense-id/label/type/property semantics, defaults, aggregation/orientation behavior, and validation rules.	docs_PRD03/reference-learning/gds-v2-dossiers/041-projection_build-PropertyMapping.md
42	T0_IMPLEMENTATION_COMPLETE_READ	projection_build	neo4j-gds-src	config-api	config-api/src/main/java/org/neo4j/gds/config/GraphProjectConfig.java	source	108	58	8	66	Map how Neo4j-shaped inputs become projected graph topology, labels, relationship types, orientation, and properties.	Read this entire file as a Projection Build Store contract. Extract the input shape, normalized facts, dense-id/label/type/property semantics, defaults, aggregation/orientation behavior, and validation rules.	docs_PRD03/reference-learning/gds-v2-dossiers/042-projection_build-GraphProjectConfig.md
43	T0_IMPLEMENTATION_COMPLETE_READ	projection_build	neo4j-gds-src	graph-projection-api	graph-projection-api/src/main/java/org/neo4j/gds/RelationshipProjection.java	source	248	56	8	64	Map how Neo4j-shaped inputs become projected graph topology, labels, relationship types, orientation, and properties.	Read this entire file as a Projection Build Store contract. Extract the input shape, normalized facts, dense-id/label/type/property semantics, defaults, aggregation/orientation behavior, and validation rules.	docs_PRD03/reference-learning/gds-v2-dossiers/043-projection_build-RelationshipProjection.md
44	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/machinery/src/main/java/org/neo4j/gds/applications/algorithms/machinery/StreamResultBuilder.java	source	41	60	2	62	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/044-olap_algorithm-StreamResultBuilder.md
45	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/community/src/main/java/org/neo4j/gds/applications/algorithms/community/CommunityAlgorithmsMutateModeBusinessFacade.java	source	321	14	48	62	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/045-olap_algorithm-CommunityAlgorithmsMutateModeBusinessFacade.md
46	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/centrality/src/main/java/org/neo4j/gds/applications/algorithms/centrality/CentralityAlgorithms.java	source	441	7	53	60	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/046-olap_algorithm-CentralityAlgorithms.md
47	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/machinery/src/main/java/org/neo4j/gds/applications/algorithms/metadata/RelationshipsWritten.java	source	25	59	0	59	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/047-olap_algorithm-RelationshipsWritten.md
48	T0_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	executor	executor/src/main/java/org/neo4j/gds/executor/GdsCallable.java	source	47	57	1	58	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/048-procedure_surface-GdsCallable.md
49	T0_IMPLEMENTATION_COMPLETE_READ	procedure_surface	neo4j-gds-src	procedures/facade-api	procedures/facade-api/community-facade-api/src/main/java/org/neo4j/gds/procedures/algorithms/community/CommunityProcedureFacade.java	source	441	2	56	58	Capture procedure ABI: names, modes, columns, config parsing, errors, and unsupported behavior.	Read this entire file as a public GDS procedure surface contract. Extract procedure names, modes, columns, config parsing, result shapes, side effects, errors, unsupported cases, and verification fixtures.	docs_PRD03/reference-learning/gds-v2-dossiers/049-procedure_surface-CommunityProcedureFacade.md
53	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/machinery/src/main/java/org/neo4j/gds/applications/algorithms/machinery/ProgressTrackerCreator.java	source	62	46	7	53	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/053-olap_algorithm-ProgressTrackerCreator.md
54	T0_IMPLEMENTATION_COMPLETE_READ	memory_estimator	neo4j-gds-src	applications/algorithms	applications/algorithms/community/src/main/java/org/neo4j/gds/applications/algorithms/community/CommunityAlgorithmsEstimationModeBusinessFacade.java	source	278	19	33	52	Extract explicit memory-accounting vocabulary, estimator composition, ranges, and reject-before-run contracts.	Read this entire file as a strict RAM contract. Extract every memory term, range, estimator composition rule, unit, high-water state, rejection condition, and testable invariant.	docs_PRD03/reference-learning/gds-v2-dossiers/054-memory_estimator-CommunityAlgorithmsEstimationModeBusinessFacade.md
55	T0_IMPLEMENTATION_COMPLETE_READ	write_import_export	neo4j-gds-src	applications/algorithms	applications/algorithms/community/src/main/java/org/neo4j/gds/applications/algorithms/community/CommunityAlgorithmsWriteModeBusinessFacade.java	source	340	2	50	52	Identify side effects that must remain outside immutable OLAP reads: writes, mutate, export, and database effects.	Read this entire file as a side-effect boundary. Extract what gets written or exported, when it is allowed, how it interacts with catalog/projection state, and what must never happen during immutable OLAP reads.	docs_PRD03/reference-learning/gds-v2-dossiers/055-write_import_export-CommunityAlgorithmsWriteModeBusinessFacade.md
56	T0_IMPLEMENTATION_COMPLETE_READ	olap_algorithm	neo4j-gds-src	applications/algorithms	applications/algorithms/machinery/src/main/java/org/neo4j/gds/applications/algorithms/machinery/MutateStep.java	source	36	49	2	51	Capture algorithm execution skeleton: config, estimation, execution modes, result/write/mutate/stream artifacts.	Read this entire file as an algorithm execution contract. Extract lifecycle stages, required graph views, algorithm state, result artifacts, memory estimation hooks, mutate/write/stream/stats behavior, and verification cases.	docs_PRD03/reference-learning/gds-v2-dossiers/056-olap_algorithm-MutateStep.md
