lane	path	sha256	bytes	line_count	read_span	coverage_status	algorithms_mentioned	patterns_mentioned	evidence_id
lane-08	docs_PRD06/graph-learning/hnsw-layered-greedy-ascii.md	0e495b294826a576dc63ccdb85e593b6d1db5bbaf645ad3c85c5356be62f3f9d	7661	174	1-174	line_read	hnsw-search,knn-search,product-quantization,scalar-quantization,vamana-ann,acorn-filtered-search	layered-proximity-graph,beam-search,neighbor-diversity,recall-latency-dial	A08-F0016
lane-08	docs_PRD06/graph-learning/incremental-delta-iteration-ascii.md	1c986c77806fd56ae1b2927f20b4d0acd8824cf1a827c475f5e9f41f4024e2c6	7100	153	1-153	line_read	incremental-delta-iteration,semi-naive-iteration,bfs,pagerank,connected-components	data-time-diff,antichain-frontier,trace-compaction,incremental-vs-scratch-oracle	A08-F0017
lane-08	docs_PRD06/graph-learning/metamorphic-oracle-testing-ascii.md	d1168ec0b532fb65257fad3385ce2a79c8446815b67e8d8bd05a6debba9ab512	7102	160	1-160	line_read	tlp-testing,norec-testing,history-checking,linearizability-checking,knossos-search,differential-testing	reproducer,reduction,fault-injection	A08-F0018
lane-08	docs_PRD06/graph-learning/mvcc-snapshot-visibility-ascii.md	4947ecfb2eab566d3d57210aa08bf6a22141ce7d1202e428b0f49ea51f5cb057	7597	163	1-163	line_read	mvcc-snapshot,ssi-conflict-check,aries-recovery	version-chain,active-set-visibility,watermark-publication,gc	A08-F0019
lane-08	docs_PRD06/graph-learning/packstream-wire-encoding-mermaid.md	1ca69cc7ab84d75cf77982bcadaecf5171e31d1d6488e6c97e0a008000c4fc05	7141	151	1-151	line_read	packstream-smallest-encoding	bolt-protocol,nibble-dispatch,byte-differential	A08-F0020
lane-08	docs_PRD06/graph-learning/pagerank-iteration-convergence-mermaid.md	f35f053536d92030ddab0f36130e8f417d1d44cb54321f6bc84bf78768fa7e27	7745	150	1-150	line_read	pagerank,pagerank-delta,label-propagation,katz-centrality,hits,belief-propagation,gnn-message-passing	power-iteration,pull-gather,dangling-node-policy,epsilon-equivalence	A08-F0021
lane-08	docs_PRD06/graph-learning/pattern-index.md	1b3c10dd7d335647906da480a8288e386412bc75eb9d2153a215b66b02ee5a71	5738	49	1-49	line_read	lsm-compaction,wal-group-commit,roaring-idsets,mvcc-snapshot,cow-tree-snapshot,bloom-filter,csr-build,semiring-traversal,connected-components,pagerank,delta-stepping,hnsw-search,product-quantization,vamana-ann,ivf-probe,posting-compression,bm25-scoring,wand-pruning,fst-dictionary,triple-permutation-indexing,incremental-delta-iteration,metamorphic-testing,tolerant-validation	pattern-index,category-syntheses	A08-F0022
lane-08	docs_PRD06/graph-learning/pmf-analysis-apache-ecosystem-lens.md	7d85a4a90b9f0d32c4b66c2793830bbe7a6ff875d2997d1416d83690bc17c555	12531	226	1-226	line_read	superstep-convergence	component-pmf,known-endpoint-rewrite,embedded-engine	A08-F0023
lane-08	docs_PRD06/graph-learning/posting-block-compression-ascii.md	f838ddc34392cbeb811f32b63d44b63727c05b7849a62072c39d9c259cc444e3	6766	159	1-159	line_read	posting-compression,galloping-intersection,bm25-scoring,ivf-probe	block-delta-bitpack,skip-levels,immutable-segments	A08-F0024
lane-08	docs_PRD06/graph-learning/posting-block-compression-mermaid.md	e16a26088b94be5511f20b5e082b04b08f2ab2b26aca6e30eb0632447d5cd195	7917	152	1-152	line_read	posting-compression,galloping-intersection,bm25-scoring,ivf-probe	block-delta-bitpack,skip-levels,immutable-segments	A08-F0025
lane-08	docs_PRD06/graph-learning/record-chain-adjacency-mermaid.md	8f031145fa5f6464a65865369e632509dddd05130d39ab858fbd651602e79982	8354	152	1-152	line_read	record-chain-adjacency,packed-csr-maintenance,lsm-compaction	index-free-adjacency,kv-adjacency,neighbor-set-equivalence	A08-F0026
lane-08	docs_PRD06/graph-learning/roaring-bitmap-idsets-ascii.md	59c7aa866af4664ae07a1fd0c5599072116f01f2252e7f6cbd707c2229519086	6930	158	1-158	line_read	roaring-idsets,galloping-intersection,run-length-encoding	adaptive-containers,simd-intersection	A08-F0027
lane-08	docs_PRD06/graph-learning/roaring-bitmap-idsets-mermaid.md	9dcca37aff571e23c45cb41303d17f1f3ac72d706f65d26d0888b36974db99b0	6729	155	1-155	line_read	roaring-idsets,galloping-intersection,run-length-encoding	adaptive-containers,portable-serialization,mmap-operations	A08-F0028
lane-08	docs_PRD06/graph-learning/stub-script-conformance-mermaid.md	c88b5ef08a211be9922bdcab972170969bc1f296d7a4338593d6ff66f22f31a1	7288	151	1-151	line_read	stub-script-conformance	bolt-protocol,script-dsl,accepting-automaton,layered-oracles	A08-F0029
lane-08	docs_PRD06/graph-learning/superstep-message-convergence-ascii.md	09d6a164b34656d987a7196a7f10419e5f85c02e0d60435b1e5d92aaa4508812	7404	163	1-163	line_read	superstep-convergence,min-label-propagation,vertex-cut-partitioning	pregel-protocol,active-set,checkpointing,vote-to-halt	A08-F0030
