selection_rank	batch_id	batch_position	paper_id	g04_queue_rank	relevance_score	page_count	pdf_path	pdf_sha256	text_path	text_sha256	architecture_question_ids	selection_basis	reader_agent_id	reviewer_agent_id	reading_status	terminal_outcome	card_ids	reading_coverage	no_mechanism_rationale	result_checksum
11	G05-BATCH-1	3	PAPER-2603.01779	10	42	13	sources/papers/PAPER-2603.01779.pdf	EE8A095D9B58F06C41C93AD87FAC2CA2511596E9C74C86D7E28F5EF7366835F5	cache/g04/text/PAPER-2603.01779.txt	8832185B1BD162CA4E190E929917B5EBB96329C9EC716542C62F8FEF4D61B22F	AQ-007|AQ-008	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ac83-7793-86db-1f0b3e883afa	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-BATCH-UPDATES-BEFORE-CONSOLIDATION|PAT-DECOUPLE-NAVIGATION-VECTOR-BLOCKS|PAT-PLACE-SCALE-GROWING-STATE|PAT-PREFETCH-CANDIDATE-BLOCKS-ASYNCHRONOUSLY	ALL_PAGES:1-13	NOT_APPLICABLE	0A59058F68512F772FA603973B3E8F0563794FE39CBEEB0D9A8B00891ADA9F35
12	G05-BATCH-2	3	PAPER-2605.02171	11	40	13	sources/papers/PAPER-2605.02171.pdf	767D41D09D8F11F6F0A8DCF0B6EB85238C35657525BF1FC62D1172DB82BB3ADB	cache/g04/text/PAPER-2605.02171.txt	CA6C0F6A4F190B6D7849FD0744035F06664F1677EDFA2D340D9F1CFEB817EC80	AQ-007|AQ-008	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ad6c-7791-80c0-b6a701cd3639	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-NAVIGATE-BINARY-RERANK-EXACTLY|PAT-PROBE-QUANTIZED-TOPOLOGY-COMPATIBILITY	ALL_PAGES:1-13	NOT_APPLICABLE	133D8FFB84F8148E352463E82C73AD26BA6ADEFC215265C75D6D88AD9F3C7D8A
13	G05-BATCH-3	3	PAPER-2010.09913	4	37	14	sources/papers/PAPER-2010.09913.pdf	70FEFAFDA2CB5C72852781D285F5F9A9701945C7B9CC1675F930DE6C1EDC22CF	cache/g04/text/PAPER-2010.09913.txt	8846B56DD2E62779263DCDB91A2B3396B7085965C1DBEF051676CAB95CFAE46E	AQ-003|AQ-008|AQ-010|AQ-011	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-acf6-7771-8451-a65c16a84220	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-INFER-UNWEIGHTED-EDGE-VALUES|PAT-SKIP-FINALIZED-VECTOR-CHUNKS	ALL_PAGES:1-14	NOT_APPLICABLE	B74541E002FD106E07993682B73CFC01C123A154F88A85EDFB64B6826AB6E8D9
14	G05-BATCH-4	3	PAPER-2012.10026	19	36	11	sources/papers/PAPER-2012.10026.pdf	1F1F68864D22BAFEE4DBAD9BCE818F1C5E95C584F4BA0EE0688DCCD2040848B7	cache/g04/text/PAPER-2012.10026.txt	EDC0AD64097E8772AFCF598E32D1F3970AD0E18B25242B04812EDF1FD0CC6851	AQ-003|AQ-008	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ae5f-7992-a0b1-5e1a33825021	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-BALANCE-PHASE-SPECIFIC-WORKLOADS|PAT-RELABEL-VERTICES-FOR-LOCALITY|PAT-SHRINK-VISITED-PARTITION-BOUNDS	ALL_PAGES:1-11	NOT_APPLICABLE	5319BF5BF842439EE878553E74A25C36E365085D6F59C310E126FB3082035AB9
15	G05-BATCH-5	3	PAPER-2507.12925	3	31	22	sources/papers/PAPER-2507.12925.pdf	7A528A9BA416B90344037759158C82DC21FF436499837E0493C80541F1077BC3	cache/g04/text/PAPER-2507.12925.txt	38E32B9A0DCC2A6DAEBD3A6F4569F0C11FBDE6EAC782CF01A3857314E42DF25E	AQ-003|AQ-008	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ade2-7481-b8c6-e02f38b82848	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-PRUNE-SETTLED-SEARCH-STATE|PAT-THRESHOLD-INMEMORY-SKETCH-GROWTH	ALL_PAGES:1-22	NOT_APPLICABLE	BA19C35528D75D233CB7E046A336F1A6FD2D293535A27BD315BA81A99CD754CC
16	G05-BATCH-1	4	PAPER-1709.07122	5	31	15	sources/papers/PAPER-1709.07122.pdf	6B322B3559890C5B629DA422C925BB9D9DAAE73FEE609A198B9FCC4F021F8005	cache/g04/text/PAPER-1709.07122.txt	F341B2E76C62A54E3F6585D950D94D5F6CEB6A89A316E12D54B192254D78654D	AQ-001|AQ-002|AQ-008|AQ-009|AQ-010|AQ-012	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ac83-7793-86db-1f0b3e883afa	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-STREAM-PARTITIONED-UPDATES-SEQUENTIALLY	ALL_PAGES:1-15	NOT_APPLICABLE	816F6A359B92836CAAC88AD87D2C1DD71C511A4A176C41FAB3355329BBECF6B1
17	G05-BATCH-2	4	PAPER-1304.4453	15	31	16	sources/papers/PAPER-1304.4453.pdf	D6BA79210DCDB622BFDCEB2BC12DBF667003C005079FEDCBD48B1B59300A1831	cache/g04/text/PAPER-1304.4453.txt	E988A8CED4FA2AE761A0B7474A7401CF247AE426DDF80CBA8D89C961C136F5D1	AQ-006|AQ-008	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ad6c-7791-80c0-b6a701cd3639	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-MERGE-THREAD-LOCAL-COARSENINGS|PAT-REACTIVATE-CHANGED-NEIGHBORS-ONLY|PAT-RECOMPUTE-NEIGHBOR-WEIGHTS-LOCALLY	ALL_PAGES:1-16	NOT_APPLICABLE	0A31282CB5D336F1F9EFB5290FFBFCE6FD69AAFA0A04C68D76744F9ACE2E09A9
18	G05-BATCH-3	4	PAPER-2104.09616	18	28	6	sources/papers/PAPER-2104.09616.pdf	736E5BE5A21F11B34130411588E80DF27519CD35F49EC5A23B61D85F82753FCE	cache/g04/text/PAPER-2104.09616.txt	84657FCF139CFFD41F6F0A0FC04D78C76290FE192E55EE9F2C16E3A7A08CCD62	AQ-002|AQ-010	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-acf6-7771-8451-a65c16a84220	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-BOUND-GLOBAL-SCORE-TABLE|PAT-DECOMPOSE-DIFFUSION-INTO-STAGES|PAT-SELECT-HIGH-RESIDUAL-SUBGRAPHS	ALL_PAGES:1-6	NOT_APPLICABLE	23C9CBF97C0A837617F3AD02AC8C8BCBEA7FC5CB7B61BCBBA0E954E102E6227B
19	G05-BATCH-4	4	PAPER-2112.00098	12	26	23	sources/papers/PAPER-2112.00098.pdf	9EC995D597C94E687F3A445DD22351B30BC5AC1CFA3983E1C42846A2C0AD0060	cache/g04/text/PAPER-2112.00098.txt	9FEA74F2630AF564A510EC2D1C7D29BFB57CFD736DE1CD648E1E07EE1328F4E1	AQ-004|AQ-008|AQ-010|AQ-011	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ae5f-7992-a0b1-5e1a33825021	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-ORDER-QUERIES-WITH-STREAM|PAT-PACK-CONNECTIVITY-STATE-PREFIX|PAT-RECYCLE-SURVIVORS-DURING-AGING	ALL_PAGES:1-23	NOT_APPLICABLE	F68511F9F4DFE78E63CB8811DE8B95C165A6C9EDAD8DF8383B4685DAFC309BE1
20	G05-BATCH-5	4	PAPER-2503.00430	20	26	5	sources/papers/PAPER-2503.00430.pdf	9BE08458A64F2464B91DCBCD4ABBB4808B7513125B10A5E98ABAA35C73C1DD92	cache/g04/text/PAPER-2503.00430.txt	44DC8EDCC61BAC2F0777E90136BCE96D1715B74FD1E1C275276E254DEF5477C3	AQ-003|AQ-008|AQ-010|AQ-011	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ade2-7481-b8c6-e02f38b82848	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-SORT-THEN-WRITE-DISTANCES|PAT-SWITCH-TRAVERSAL-BY-FRONTIER|PAT-TRACK-VISITED-WITH-BITMAPS	ALL_PAGES:1-5	NOT_APPLICABLE	B40EC77373CE0B5478A7691DD7352E08049693C843DFF3F736F41250528FC519
21	G05-BATCH-1	5	PAPER-HASH-b12240577b20eaad	39	25	22	sources/papers/PAPER-HASH-b12240577b20eaad.pdf	33EFD1B1848031F7F6998B7A02DA71F3B0E8F94A667DF5E7B2153552293D5F69	cache/g04/text/PAPER-HASH-b12240577b20eaad.txt	37B83B672A3358EC23133B22C16CCBB15F6E81DFAED7DD436FE7369D3DF62644	AQ-002|AQ-003|AQ-005|AQ-008|AQ-010|AQ-011	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ac83-7793-86db-1f0b3e883afa	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-COMPRESS-SORTED-ID-STREAMS|PAT-REUSE-LOADED-SUBGRIDS-SELECTIVELY|PAT-SCHEDULE-SUBGRIDS-BY-DEPENDENCY	ALL_PAGES:1-22	NOT_APPLICABLE	19B7C420E2360F94436A1D10C4D605B5595E8A6327A4EC6E14804B637F59DEE8
22	G05-BATCH-2	5	PAPER-2605.19335	41	25	15	sources/papers/PAPER-2605.19335.pdf	F8E8F212D0B1DD762AE678F50BB91F760B8599560C95401E0D6A4892BF05123F	cache/g04/text/PAPER-2605.19335.txt	5268563EDB142C415A93CF31689038A7C2DE90E79A1C2FFDFC9730282195CE62	AQ-003|AQ-008|AQ-010	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ad6c-7791-80c0-b6a701cd3639	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-BOUND-OVERRUN-FROM-SAMPLES|PAT-CHECKPOINT-PRUNING-BETWEEN-STALLS|PAT-PREFETCH-DISPLACED-SEARCH-STATE|PAT-TUNE-IDLE-WINDOW-UTILIZATION	ALL_PAGES:1-15	NOT_APPLICABLE	D6008DEE115E997BC091C7E675BA6D89B52D0ABC8268A58E05FA61150C2ACDF5
23	G05-BATCH-3	5	PAPER-1602.02864	6	23	14	sources/papers/PAPER-1602.02864.pdf	ED8A6EA79FD9BB9EDA965C7D68C9FD07500B2A9082A9794AF299B92BA257AF38	cache/g04/text/PAPER-1602.02864.txt	69A3D7802F438C44D0831FD657077AF718FE0B833D2BE49D0E07B9368476B90A	AQ-002|AQ-008	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-acf6-7771-8451-a65c16a84220	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-PACK-NONEMPTY-SPARSE-ROWS|PAT-STREAM-SPARSE-KEEP-DENSE	ALL_PAGES:1-14	NOT_APPLICABLE	22C45EC7109A074F41723217F9D0EB2C1502BBA55D5A671FB43D0084747002AC
24	G05-BATCH-4	5	PAPER-1603.01876	24	23	9	sources/papers/PAPER-1603.01876.pdf	38B613235BA8CAD8BBB1CCEC5D5155F8E57656A8405F5AF1FB19808AD77B8AE0	cache/g04/text/PAPER-1603.01876.txt	273D26DD9BD90EA3319471C51998B74687185B291F7F79FC85FAFEB2A000EB6B	AQ-002|AQ-010|AQ-012	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ae5f-7992-a0b1-5e1a33825021	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-MATERIALIZE-EACH-PIPELINE-STAGE	ALL_PAGES:1-9	NOT_APPLICABLE	0BC967DF6D4C242CF8181324EF77A128931716E625603F48E49D575D2D6C2E9E
25	G05-BATCH-5	5	PAPER-1810.08473	14	22	25	sources/papers/PAPER-1810.08473.pdf	49D6A4D5092F68EF7A43FABB1975364A114EC76D21D2EF9CE738007F003EE58A	cache/g04/text/PAPER-1810.08473.txt	308259FE2AFE67ED0C0F988F766C89290C2CD02BB945DBC84C2090AD893664A4	AQ-006	SCORE_DESC_QUEUE_ASC_PAPER_ID_ASC	019ff41e-ade2-7481-b8c6-e02f38b82848	019ff438-df36-7080-b8b4-0c8a57571f7d	COMPLETE	MECHANISM_EXTRACTED	PAT-REFINE-COMMUNITIES-BEFORE-AGGREGATION|PAT-REVISIT-CHANGED-NEIGHBORHOODS-ONLY	ALL_PAGES:1-25	NOT_APPLICABLE	A179CC5F8E99B31DAC88F2F64AA54399C31CCF2F45764D2F015DBBDEFF404F0E
