term_id	term	term_type	architecture_question_ids	source_repo_paths	synonyms	historical_terms	adjacent_domain_terms	exclusion_terms	notes
TERM-018	frontier push-pull switching	SCHEDULING	AQ-003	docs_PRD06/graph-learning/frontier-pushpull-switching-ascii.md	direction-optimizing BFS|adaptive traversal	push-pull BFS|top-down bottom-up BFS	active-set scheduling|bitmap iteration	one fixed traversal direction	Switches access direction based on frontier density and graph shape.
TERM-019	visited bitmap	STATE	AQ-003	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	visited bitset|seen-node mask	bit vector|mark array	Roaring bitmap|compressed id set	object hash set baseline	Dense or compressed duplicate-suppression state.
TERM-020	frontier virtualization	STATE	AQ-003	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	spillable frontier|frontier runs	external frontier|active-set stream	external sort|work queue	unbounded resident queue	Sparse or dense active sets represented under a fixed state envelope.
TERM-021	source-range edge channels	LAYOUT	AQ-003	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	frontier-addressable blocks|typed edge channels	blocked adjacency|edge partitions	zone maps|posting lists	untyped universal CSR	Pages selected by source ranges types and conservative metadata.
TERM-022	external predecessor slabs	STATE	AQ-003|AQ-008	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	spilled parent array|disk predecessor tape	external array|semi-external state	path reconstruction|checkpoint slab	proof paths are free	Proof-path state can spill separately from reachability state.
TERM-023	spillable priority queue	STATE	AQ-003|AQ-008	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	external-memory queue|bounded heap	external priority queue|buffer tree	delta stepping|bucket queue	unbounded binary heap	Weighted path exploration requires a separately admitted queue.
TERM-024	result-cardinality admission	PRODUCT_CONTRACT	AQ-003|AQ-008	docs_PRD04/reference-learning/neo4j-compat-lowram/founder-contract-spine.md	output-bound contract|result-volume guard	cardinality estimation|output-sensitive algorithm	streaming result sink	row limit after materialization	Output state and serialization are priced before execution.
TERM-025	streaming weakly connected components	ALGORITHM	AQ-004	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	streaming WCC|connected components	component labeling|connectivity	graph clustering|equivalence classes	strongly connected components	Global exact partition workload over an undirected logical view.
TERM-026	canonical pair-once edge stream	LAYOUT	AQ-004	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	undirected pair stream|normalized edge runs	edge list|COO	streaming union|sort-unique pairs	symmetric duplicate topology	Stores one normalized pair for exact streaming union.
TERM-027	union-find parent labels	STATE	AQ-004	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	disjoint-set array|component parent vector	union-find|disjoint-set forest	equivalence relation|partition state	component IDs as semantic truth	Dense parent or label state with union and compression behavior.
TERM-028	Afforest sampled components	ALGORITHM	AQ-004	docs_PRD06/LowRAM-All-Algorithm-Architecture-Atlas.md	Afforest|sampled hooking	Shiloach-Vishkin|hooking and shortcutting	sampling|graph contraction	approximate components	Speed-oriented exact component strategy with sampling-guided work reduction.
TERM-029	range-sharded union capsules	STATE	AQ-004|AQ-008	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	partitioned label state|external union windows	semi-external connectivity|state sharding	range partitioning|checkpoint state	open-ended random label I/O	Strict option when a full parent array does not fit.
TERM-030	component-label materialization	LAYOUT	AQ-004|AQ-009	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	precomputed component column|component answer artifact	materialized view|cached partition	columnar result|lookup index	first-run proof replacement	Generation-bound answer for repeated component queries.
TERM-031	spanning-forest certificate	CORRECTNESS	AQ-004|AQ-012	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	connectivity witness|forest certificate	proof forest|union witness	certifying algorithm|verifiable computation	raw component label equality	Independent structural evidence for claimed component membership.
TERM-032	partition equivalence oracle	CORRECTNESS	AQ-004|AQ-012	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	canonicalized component equality|equivalence-class comparison	set partition equivalence	graph isomorphism of labels|oracle normalization	brittle numeric label equality	Compares partitions independent of implementation-specific component IDs.
TERM-033	degree-oriented triangle counting	ALGORITHM	AQ-005	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	oriented triangle counting|forward algorithm	forward triangle algorithm	motif enumeration|set intersection	naive triple enumeration	Exact schedule orders edges by degree and identifier.
TERM-034	degeneracy ordering	SCHEDULING	AQ-005	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	k-core orientation|arboricity ordering	degeneracy graph ordering	graph peeling|sparse orientation	random node order	Ordering bounds forward-list work using structural sparsity.
TERM-035	forward-oriented adjacency	LAYOUT	AQ-005	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	oriented neighbor lists|forward-only motif view	DAG orientation|ordered adjacency	join ordering|wedge orientation	PageRank reverse layout	Stores only neighbors later in the exact counting order.
TERM-036	sorted set intersection	ALGORITHM	AQ-005	docs_PRD06/LowRAM-All-Algorithm-Architecture-Atlas.md	adjacency intersection|merge intersection	merge join|galloping intersection	SIMD intersection|posting-list intersection	unsorted nested scan	Core triangle kernel over ordered neighbor lists.
TERM-037	hub bit pages	LAYOUT	AQ-005	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	dense-hub bitsets|hub bitmap cache	bitmap adjacency|bit matrix	adaptive containers|Roaring bitmaps	bitset every node	Promoted only where hub intersection benchmarks repay dense pages.
TERM-038	external wedge runs	IO	AQ-005|AQ-008	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	spilled wedge enumeration|wedge tapes	external sort records	join materialization|motif stream|sort-merge counting	unbounded wedge materialization	Strict plan emits and reduces motif candidates under fixed buffers.
TERM-039	per-node LCC counters	STATE	AQ-005	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	local clustering counters|triangle-per-node state	dense counter vector	aggregation state|output accumulator	global count implies tiny output	Per-node output changes the state and admission floor.
TERM-040	motif-count certificate	CORRECTNESS	AQ-005|AQ-012	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	triangle witness|count checksum	certifying count|adversarial motif fixture	metamorphic graph test|hand-checkable graph	benchmark count without semantics	Binds self-loop parallel-edge and per-node counting semantics.
TERM-041	Louvain community detection	ALGORITHM	AQ-006	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	multilevel modularity optimization|Louvain method	greedy modularity	graph clustering|partition optimization	all community algorithms	Dynamic tally-heavy community workload.
TERM-042	Leiden refinement	ALGORITHM	AQ-006	docs_PRD06/LowRAM-All-Algorithm-Architecture-Atlas.md	Leiden algorithm|refined community detection	multilevel refinement	quality clustering|connected communities	Louvain synonym	Refinement and connectivity semantics differ from Louvain.
TERM-043	weighted undirected community blocks	LAYOUT	AQ-006	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	community-range edge blocks|weighted symmetric adjacency	weighted graph projection	coarsened graph|aggregation blocks	unweighted generic CSR	Physical topology with stable aggregation semantics per level.
TERM-044	neighbor-community tally	STATE	AQ-006	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	community weight map|dynamic modularity accumulator	hash accumulator|sparse histogram	group-by state|neighbor aggregation	fixed per-node vector only	Distribution-dependent state that can dominate topology.
TERM-045	sort-reduce community edges	IO	AQ-006|AQ-008	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	external community aggregation|community-edge runs	external group-by|sort-reduce	differential aggregation|LSM compaction	unbounded resident hash map	Exact overflow path for dynamic tallies and contraction.
TERM-046	streamed contraction	SCHEDULING	AQ-006	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	one-level-at-a-time contraction|external coarsening	graph contraction|multilevel coarsening	stream aggregation|generation publication	retain all levels resident	Only the active level and bounded construction state remain live.
TERM-047	modularity certificate	CORRECTNESS	AQ-006|AQ-012	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	quality-score receipt|partition modularity	objective function check	clustering validation|quality metric|partition invariant	community ID array equality	Verifies objective and partition validity without requiring identical IDs.
TERM-048	seeded partition tolerance	CORRECTNESS	AQ-006|AQ-012	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	seed policy|partition-equivalence tolerance	reproducible random seed	stochastic algorithm testing|quality tolerance|stability analysis	bitwise equality across all implementations	Declares acceptable variation for valid stochastic partitions.
TERM-049	NodeSimilarity	ALGORITHM	AQ-007	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	graph node similarity|neighborhood similarity	Jaccard similarity|cosine similarity	entity resolution|link prediction	generic vector ANN only	Pairwise or top-K graph-neighborhood scoring workload.
TERM-050	bipartite incidence postings	LAYOUT	AQ-007	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	entity-feature postings|feature-to-entity incidence	inverted index|incidence matrix	posting lists|factorized join	materialized entity clique	Preserves exact shared-feature structure without pair-graph expansion.
TERM-051	exact pair-contribution runs	IO	AQ-007|AQ-008	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	pair score spill runs|external contribution aggregation	external sort|sort-merge reduce	pair counting|inverted-index join	resident all-pairs hash table	Exact scores merged from bounded feature-bucket contributions.
TERM-052	degree-band index	LAYOUT	AQ-007	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	cardinality bands|size-class index	length filtering|prefix filtering	selectivity histogram|posting metadata	unfiltered all pairs	Narrows exact candidate comparisons by neighborhood size constraints.
TERM-053	heavy-feature partitions	LAYOUT	AQ-007	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	heavy-hitter feature buckets|skew partitions	heavy-key handling|data skew	join skew mitigation|salting	feature clique expansion	Separates high-frequency features whose candidate contribution dominates.
TERM-054	MinHash LSH candidates	ALGORITHM	AQ-007	docs_PRD06/LowRAM-All-Algorithm-Architecture-Atlas.md	sketch candidate generation|locality-sensitive hashing	MinHash|LSH	approximate nearest neighbors|set similarity	implicit exact result	Approximate candidate stage requiring declared recall and exact landing.
TERM-055	exact reranking	CORRECTNESS	AQ-007|AQ-012	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	exact landing|candidate verification	rank refinement|two-stage retrieval	verification filter|reranker	sketch score as final truth	Recomputes final pair scores under exact semantics for retained candidates.
TERM-056	bounded per-node top-K	STATE	AQ-007	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	fixed top-K heap|bounded neighbor list	selection heap|streaming top-K	WAND-style threshold|result cap	bounded top-K bounds candidate generation	Caps resident output while candidate volume remains separately estimated.
TERM-057	external-memory graph processing	IO	AQ-008	docs_PRD06/LowRAM-All-Algorithm-Architecture-Atlas.md	out-of-core graph processing|semi-external graph processing	I/O-efficient algorithms|secondary-memory algorithms	NVMe analytics|disk-backed computation	operating-system swap	Algorithms explicitly schedule topology or state movement across storage tiers.
TERM-058	strict-RAM streamed profile	PRODUCT_CONTRACT	AQ-008	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	hard-cap execution|bounded-memory lane	memory-constrained execution	real-time memory budget|fixed working set	mmap-only low RAM claim	Profile owns buffers concurrency spill and refusal semantics.
TERM-059	fixed buffer pool	STATE	AQ-008|AQ-010	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	preallocated I/O buffers|state capsule	arena allocation|static memory plan	direct-I/O buffers|registered buffers	growable hot-path collections	Explicit pool makes resident transient state countable before admission.
TERM-060	bounded merge fan-in	IO	AQ-008	src/low_ram.rs	multi-pass k-way merge|limited run merger	external merge sort|buffer tree	LSM compaction|file-descriptor budgeting	open every spill run	Current run sizes are bounded but merge fan-in needs its own resource term.
TERM-061	fit spill approximate refuse	PRODUCT_CONTRACT	AQ-008	docs_PRD04/reference-learning/neo4j-compat-lowram/founder-contract-spine.md	four-way admission|execution alternatives	admission control|degradation policy	query planner fallback	late OOM retry	A007 plan outcome selected before execution under explicit semantics.
TERM-062	hard cgroup RSS ceiling	PRODUCT_CONTRACT	AQ-008|AQ-010	docs_PRD04/reference-learning/neo4j-compat-lowram/founder-contract-spine.md	process memory quota|enforced RSS limit	cgroup v2|RLIMIT	container QoS|resource reservation	requested buffer size	Whole-process external enforcement distinct from internal allocator intent.
TERM-063	full-working-set estimate	PREDICTABILITY	AQ-008|AQ-010	docs_PRD04/reference-learning/neo4j-compat-lowram/current-implementation-gap-ledger.md	complete memory model|resource envelope	memory footprint model|working-set analysis	admission estimate|capacity planning	heap estimate alone	Includes representation state output conversion runtime spill overlap and safety.
TERM-064	spill I/O receipt	PRODUCT_CONTRACT	AQ-008|AQ-012	docs_PRD04/reference-learning/neo4j-compat-lowram/founder-contract-spine.md	temporary-storage receipt|bytes-written proof	I/O accounting|execution telemetry	spill amplification|cleanup audit	spill as invisible fallback	Predicted and observed reads writes temporary bytes and cleanup outcome.
TERM-065	preparation amortization	PRODUCT_CONTRACT	AQ-009	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	build-versus-query tradeoff|break-even reuse	amortized analysis|index construction cost	cost-based physical design	free preprocessing	Charges derived-view creation across expected valid reuses.
TERM-066	build-once query-many	PRODUCT_CONTRACT	AQ-009	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	repeated-run optimization|persistent derived view	offline preprocessing	index reuse|analytical serving	one-shot workload	Workload cadence may justify retained algorithm-shaped artifacts.
TERM-067	materialized answer artifact	LAYOUT	AQ-009	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	precomputed result|semantic compression	materialized view|result cache	quotient graph|answer index	parameter-insensitive reuse	Stores a generation and configuration bound answer rather than recomputing.
TERM-068	generation-bound cache	CORRECTNESS	AQ-009|AQ-012	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	artifact identity|view hash	cache key|snapshot version	content-addressed storage|reproducible build	stale cache accepted silently	Cache validity binds source generation projection semantics and parameters.
TERM-069	cold-versus-warm cache	PREDICTABILITY	AQ-009|AQ-010	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	cold start versus warmed run|cache conditioning	benchmark hygiene|page-cache state	startup latency|steady state	mixed-cache benchmark	Separates preparation and page residency effects in latency claims.
TERM-070	freshness invalidation	PRODUCT_CONTRACT	AQ-009	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	stale-and-rebuild|artifact invalidation	cache coherence|incremental maintenance	base plus delta|standing arrangement	stale is exact	Defines when a derived view or answer may no longer serve a request.
TERM-071	reuse-count plan selection	PRODUCT_CONTRACT	AQ-009	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	amortized plan choice|workload frequency policy	cost-based optimization	index selection|multi-query optimization	warm speedup without break-even	Planner prices build and retention across declared expected runs.
TERM-072	generation-overlap peak	PREDICTABILITY	AQ-009|AQ-010	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	double-generation peak|build publication overlap	copy-on-write peak|snapshot publication	atomic root flip|MVCC retention	runtime-only RAM accounting	Build and old/new generation coexistence can dominate process peak.
TERM-073	deterministic peak RSS	PREDICTABILITY	AQ-010	docs_PRD04/reference-learning/neo4j-compat-lowram/founder-contract-spine.md	bounded resident set|peak-memory envelope	resident-set high-water	memory QoS|resource contract	post-hoc sample only	Names a measured and enforced whole-process resident-memory contract.
TERM-074	tail-latency envelope	PREDICTABILITY	AQ-010	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	latency distribution|bounded jitter	p99 latency|worst-case execution time	real-time scheduling|service envelope	mean-only benchmark	Contract states percentile scope environment and assumptions rather than universal P100.
TERM-075	page-fault control	IO	AQ-010	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	resident-window control|prefaulting	demand paging|readahead	memory mapping|buffer cache	mmap equals residency bound	Controls or measures faults rather than treating mapped bytes as free.
TERM-076	bounded concurrency	SCHEDULING	AQ-010	docs_PRD04/reference-learning/neo4j-compat-lowram/founder-contract-spine.md	worker cap|concurrency downgrade	thread budgeting|backpressure	admission queue|work stealing	maximum parallelism always	Worker multiplication and queues are explicit resource-model terms.
TERM-077	NUMA pinning	HARDWARE	AQ-010	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	memory locality binding|CPU affinity	NUMA placement|first-touch allocation	topology-aware scheduling	uncontrolled thread migration	Named hardware profile may reduce remote-memory variance.
TERM-078	mapped-versus-resident bytes	PREDICTABILITY	AQ-008|AQ-010	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	RSS versus virtual mapping|resident mapped pages	VSS|PSS	page-cache accounting|mmap telemetry	virtual size as peak RAM	Receipt distinguishes address-space mapping from resident physical memory.
TERM-079	calibrated safety margin	PREDICTABILITY	AQ-008|AQ-010	docs_PRD04/A007-Custom-OLAP-Storage-Innovation-Atlas.md	upper confidence bound|conservative refusal bound	prediction interval|online calibration	control-system feedback	static arbitrary multiplier	Prediction error updates a scoped margin by workload and machine profile.
TERM-080	admission overshoot bound	CORRECTNESS	AQ-008|AQ-010|AQ-012	docs_PRD04/reference-learning/neo4j-compat-lowram/current-implementation-gap-ledger.md	ceiling violation tolerance|enforcement slack	resource isolation|cgroup event	fail-closed execution	OOM after admit	Testable maximum amount and duration by which enforcement may cross a limit.
TERM-081	Bolt protocol compatibility	PRODUCT_CONTRACT	AQ-011	docs_PMF_01/PMF006-Cypher-Bolt-Walk-Spec.md	Neo4j driver compatibility|Bolt adapter	binary database protocol	session state machine|driver conformance	full Neo4j parity	Production-shaped transport boundary for a named supported profile.
TERM-082	constrained Cypher profile	PRODUCT_CONTRACT	AQ-011	docs_PMF_01/PMF006-Cypher-Bolt-Walk-Spec.md	Cypher subset|query eligibility profile	openCypher subset	query rewrite|bounded variable-length read	arbitrary Cypher support	Explicit syntax semantics parameters and unsupported matrix.
TERM-083	GDS procedure surface	PRODUCT_CONTRACT	AQ-011	docs_PRD03/implementation-readiness/Support-Status-Runtime-Semantics.md	graph data science API|procedure registry	stored procedure interface	algorithm catalog|stream stats mutate write	algorithm implementation parity	Procedure names modes configuration errors and outputs as an adapter contract.
TERM-084	adapter-only boundary	PRODUCT_CONTRACT	AQ-011	docs_PRD04/reference-learning/neo4j-compat-lowram/founder-contract-spine.md	translation edge|compatibility shim	anti-corruption layer|protocol adapter	query compiler front end	imitate internal architecture	Accepts required external shape without copying incumbent internals.
TERM-085	differential query oracle	CORRECTNESS	AQ-011|AQ-012	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	behavioral parity test|reference-engine comparison	differential testing	conformance suite|model-based testing	incumbent as sole oracle	Runs same logical fixture through Knight Bus and a reference behavior surface.
TERM-086	unsupported-surface refusal	PRODUCT_CONTRACT	AQ-011	docs_PRD04/reference-learning/neo4j-compat-lowram/founder-contract-spine.md	fail-closed compatibility|explicit unsupported error	capability negotiation	feature gate|negative conformance test	silent semantic fallback	Unsupported syntax mode or transaction behavior is rejected before partial execution.
TERM-087	stream stats mutate write modes	PRODUCT_CONTRACT	AQ-011	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	GDS execution modes|result modes	procedure mode	writeback semantics|artifact publication|result materialization	one mode implies all modes	Compatibility question separates output and side-effect contracts.
TERM-088	projection semantics parity	CORRECTNESS	AQ-011|AQ-012	docs_PRD03/implementation-readiness/Projection-Build-Store-Physical-Contract.md	logical graph projection|view semantics	label and relationship projection	property aggregation|orientation semantics	same node count means parity	Binds orientation filtering defaults properties and duplicate handling.
TERM-089	proof-carrying execution receipt	PRODUCT_CONTRACT	AQ-012	docs_PRD04/reference-learning/neo4j-compat-lowram/founder-contract-spine.md	verifiable run receipt|execution certificate	audit log|provenance record	proof-carrying data|attestation	observability-only log	Machine-readable link among input plan resource behavior oracle and output.
TERM-090	before during after receipt	PRODUCT_CONTRACT	AQ-012	docs_PRD04/A007-spc-founder-interview-prep-v7.md	preflight runtime terminal receipt|phase receipt	structured telemetry	admission decision|postmortem record	after-only benchmark	Three lifecycle surfaces expose estimate enforcement progress and reconciliation.
TERM-091	independent mathematical oracle	CORRECTNESS	AQ-012	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	hand-checkable reference|epistemically independent oracle	reference implementation	formal specification|GraphBLAS|property-based oracle	Neo4j parity alone	Avoids circular correctness by using different derivations and invariants.
TERM-092	canonical partition comparison	CORRECTNESS	AQ-004|AQ-006|AQ-012	docs_PRD04/Algorithm-Storage-Decision-Analysis.md	partition equivalence|label normalization	equivalence-class comparison	clustering agreement|canonical labeling	raw label-array equality	Normalizes arbitrary identifiers before component or community comparison.
TERM-093	floating-point tolerance contract	CORRECTNESS	AQ-002|AQ-012	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	numerical equivalence|ULP or residual tolerance	error bound	numerical reproducibility|stable reduction|convergence criterion	bitwise equality by default	States norm ordering tie and convergence semantics for iterative numeric outputs.
TERM-094	metamorphic graph invariants	CORRECTNESS	AQ-012	docs_PRD06/graph-learning/metamorphic-oracle-testing-ascii.md	property-based graph tests|relation-preserving transformations	metamorphic testing	adversarial fixtures|invariant checking|fuzzing	random tests without oracle	Transforms inputs in ways that predict exact relations among outputs.
TERM-095	same-input resource comparison	CORRECTNESS	AQ-012	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	controlled baseline comparison|apples-to-apples benchmark	experimental control	benchmark protocol|cold warm run policy	different projection policy	Holds logical graph semantics hardware exactness output and phase accounting constant.
TERM-096	estimator error calibration	PREDICTABILITY	AQ-008|AQ-010|AQ-012	docs_PRD04/reference-learning/neo4j-compat-lowram/founder-contract-spine.md	predicted-versus-observed error|calibration residual	forecast calibration	confidence interval|feedback control|safety margin	uncalibrated estimate	Records absolute and percentage error to repair future admission bounds.
TERM-097	named feature vector	PRODUCT_CONTRACT	AQ-011	docs_PRD04/reference-learning/neo4j-compat-lowram/founder-contract-spine.md	capability matrix|profile manifest	named capability profile	feature negotiation|compatibility profile	compatibility Boolean	Versions the exact syntax protocol transaction mode and result features a workload may use.
TERM-098	read-only auto-commit	PRODUCT_CONTRACT	AQ-011	docs_PMF_01/PMF006-Cypher-Bolt-Walk-Spec.md	implicit read transaction profile|auto-commit read	implicit transaction	transaction mode|driver lifecycle	writes|explicit transactions	Names the narrow transaction behavior already exercised by the driver-visible profile.
TERM-099	demand-driven PULL backpressure	STATE	AQ-011	src/bolt.rs	lazy record production|bounded fetch window	Bolt pull-based streaming	flow control|slow-client admission	materialize-all execution	Requires record production and transport buffering to follow client demand within a declared memory bound.
TERM-100	whole compatibility-stack RSS	PREDICTABILITY	AQ-008|AQ-010|AQ-011	docs_PRD04/reference-learning/neo4j-compat-lowram/current-implementation-gap-ledger.md	gateway-inclusive resident set|process-tree RSS	process-tree resident set	cgroup accounting|child-process scope	Rust process only	Charges protocol gateway planner runtime buffers and child processes to the same enforced resource boundary.
TERM-101	bounded-query IR	PRODUCT_CONTRACT	AQ-003|AQ-011	docs_PRD04/reference-learning/neo4j-compat-lowram/founder-contract-spine.md	normalized logical intent|eligible query plan	logical query plan	capability planner|resource planner	parser success means support	Represents only query semantics that can be statically classified estimated admitted and refused.
TERM-102	oracle-contamination guard	CORRECTNESS	AQ-012	docs_PMF_01/PMF005-Deterministic-Compute-Operating-Doctrine.md	independent expectation generation|oracle separation	independent oracle	epistemic independence|dual derivation	self-generated expected output	Prevents implementation logic from producing its own supposedly independent expected result.
