query_id	architecture_question_ids	source_term_ids	service	query_text	categories	date_from	date_to	exclusions	executed_at	result_count	response_checksum	status
QRY-011	AQ-006	TERM-041|TERM-042|TERM-043|TERM-044	arXiv	Louvain Leiden bounded memory neighbor-community tally contraction	cs.DS|cs.PF|cs.SI	1970-01-01	2026-08-11	biological ecology|topic modeling|k-means	2026-08-11T07:00:24Z	15	6ea3f68c342e1a8495f497e2b3e97e7a429bd15d4833b19c9b03800f491fd59f	EXECUTED
QRY-012	AQ-006|AQ-008	TERM-041|TERM-045|TERM-046|TERM-057|TERM-060	arXiv	Louvain community detection external sort reduce graph contraction spill bounded	cs.DS|cs.DC|cs.DB	1970-01-01	2026-08-11	in-memory-only modularity|social-science application only|no resource model	2026-08-11T07:00:35Z	15	97270e8e2af35f69fa2142283fcc4cb3ed4435b35f320383252432547a64b71d	EXECUTED
QRY-013	AQ-007	TERM-049|TERM-050|TERM-052|TERM-053	arXiv	NodeSimilarity bipartite incidence postings degree filters skew exact	cs.DS|cs.DB|cs.IR	1970-01-01	2026-08-11	generic vector embedding|materialized pair clique|application-only study	2026-08-11T07:00:43Z	6	19fbf553fc3a9a5cb6e7c69796073cc2883cd253fe46ed50c67efbd35348b274	EXECUTED
QRY-014	AQ-007|AQ-008	TERM-105|TERM-106|TERM-107|TERM-108|TERM-109|TERM-055	arXiv	property vector kNN HNSW graph index IVF PQ partitioned probes vector quantization disk resident ANN exact reranking RAM recall	cs.DS|cs.IR|cs.DB	1970-01-01	2026-08-11	kNN classifier|exact-neighbor claim without recall|GPU memory without host accounting	2026-08-11T07:00:53Z	30	e08b3bc1ecea78b318b5db322f865524c0f52eeab43cec92fcb1183915316632	EXECUTED
QRY-015	AQ-003|AQ-008	TERM-017|TERM-057|TERM-058|TERM-061|TERM-062|TERM-063	arXiv	bounded BFS hard memory admission external spill refuse cgroup	cs.DS|cs.OS|cs.DC	1970-01-01	2026-08-11	OOM retry|heap estimate only|distributed capacity provisioning	2026-08-11T07:01:07Z	27	9f1be1f8ceb19d19e22c434cab5c19b0a3739e41a4b00229ed90b1effc22ebed	EXECUTED
QRY-016	AQ-004|AQ-008|AQ-010	TERM-025|TERM-059|TERM-060|TERM-064|TERM-080	arXiv	streaming weakly connected components external processing fixed buffers merge fan-in spill I/O overshoot	cs.DS|cs.OS|cs.DB	1970-01-01	2026-08-11	operating-system swap|unbounded k-way merge|average memory only	2026-08-11T07:01:17Z	22	30e993506466e3059b584852e39a50b1cf1e5c94a5878a4caa2b85466e5a8e2d	EXECUTED
QRY-017	AQ-002|AQ-009	TERM-009|TERM-065|TERM-066|TERM-067|TERM-070|TERM-071	arXiv	PageRank preprocessing materialized answers repeated queries freshness amortization	cs.DB|cs.DS	1970-01-01	2026-08-11	kernel-time-only benchmark|one-shot workload|free retained storage	2026-08-11T07:01:27Z	23	bc86f6ec8b1f7e359b5d73df3780c9f42f9d3d24e22ec7c9ef62720ef70b7997	EXECUTED
QRY-018	AQ-002|AQ-003|AQ-009	TERM-009|TERM-016|TERM-067|TERM-068|TERM-069	arXiv	PageRank dynamic derived views warm-start invalidation repeated query latency	cs.DB|cs.DS|cs.DC	1970-01-01	2026-08-11	stale result accepted|cache without generation key|application-only paper	2026-08-11T07:01:37Z	27	864b89277710ef710f333cd2d6f05a301c978833bb4823cede1c8c29ed82ed59	EXECUTED
QRY-019	AQ-003|AQ-010	TERM-017|TERM-073|TERM-074|TERM-075|TERM-076	arXiv	bounded BFS tail latency page faults bounded concurrency resident memory	cs.OS|cs.DC|cs.PF	1970-01-01	2026-08-11	mean-only benchmark|uncontrolled public cloud|universal P100 claim	2026-08-11T07:01:46Z	18	39e1661a14fe53003ecd7c4ba779f8d40c12d3455c05d942c24dd77762b351b7	EXECUTED
QRY-020	AQ-002|AQ-010	TERM-009|TERM-077|TERM-078|TERM-079|TERM-080	arXiv	PageRank NUMA processing mapped resident bytes calibrated memory prediction overshoot	cs.OS|cs.DC|cs.PF	1970-01-01	2026-08-11	virtual size as RSS|static safety factor only|language comparison	2026-08-11T07:01:56Z	16	1eaf815fdcc677a268eec5894890fbc7602fe544e76cef4318555b9b30f2a682	EXECUTED
QRY-021	AQ-003|AQ-011	TERM-017|TERM-081|TERM-082|TERM-084|TERM-086	arXiv	bounded BFS reachability Bolt Cypher compatibility subset fail-closed translation conformance	cs.DB|cs.SE	1970-01-01	2026-08-11	full database rewrite|parser performance only|unrelated network protocol	2026-08-11T07:02:04Z	15	1bc8dc3dfe764586f39cc822ecaffe9ce58d2430f8c12cc42860c727dd202ef8	EXECUTED
QRY-022	AQ-004|AQ-011	TERM-025|TERM-083|TERM-085|TERM-087|TERM-088	arXiv	streaming weakly connected components graph data science procedure compatibility projection semantics mutate write	cs.DB|cs.SE|cs.DS	1970-01-01	2026-08-11	API inventory only|transaction kernel internals|no behavioral oracle	2026-08-11T07:02:13Z	30	5543009eb0314f556682036cb9bc685239ddbab3e658972bf415e4a20cae7b1b	EXECUTED
QRY-023	AQ-004|AQ-012	TERM-025|TERM-089|TERM-090|TERM-091|TERM-094	arXiv	streaming weakly connected components execution receipts independent oracle metamorphic verification	cs.SE|cs.DS|cs.DC	1970-01-01	2026-08-11	blockchain proof only|observability without oracle|benchmark narrative	2026-08-11T07:02:22Z	20	fbdf01b357743400ff4f65a5b9a4d9279b60b9a3eceae8370918c9334772710f	EXECUTED
QRY-024	AQ-002|AQ-010|AQ-012	TERM-009|TERM-092|TERM-093|TERM-095|TERM-096	arXiv	PageRank differential testing numerical tolerance resource calibration same input	cs.SE|cs.DS|cs.PF	1970-01-01	2026-08-11	bitwise equality only|different hardware baseline|uncalibrated point estimate	2026-08-11T07:02:30Z	22	21150976a7e78ac78324c6fe592e2a9f15eed17844dff1139269c1289afc9640	EXECUTED
QRY-025	AQ-003|AQ-008|AQ-010|AQ-011	TERM-017|TERM-097|TERM-098|TERM-099|TERM-100|TERM-101	arXiv	bounded BFS reachability named feature vector read only auto commit demand driven PULL backpressure whole compatibility stack RSS bounded query IR Bolt state machine driver conformance	cs.DB|cs.SE|cs.DC	1970-01-01	2026-08-11	full database rewrite|materialize all results|protocol throughput without memory accounting	2026-08-11T07:02:40Z	16	df7eef7363c35684dbfcaf21b2ab5f97b6f06d185d994df945dfd5fb699f6235	EXECUTED
